"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
50,"SENSITIVE","n",20,"g",-240,0,"s",21,0,20,20,20,NA,NA,"",NA,1.567,433.442446823854,435.024863274746,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,435.024863274746,435.024863274746,435.024863274746,435.024863274746,435.024863274746,435.024863274746,435.024863274746,50,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,442.046372382509,NA,NA,314,1,"2023-09-15_15h30.12.352","SELFtaskv6","2023.1.2",367.982059465693,NA,3
50,"UNIMPORTANT","n",35,"g",-120,0,"s",22,0,56,56,56,NA,NA,"",NA,1.617,927.981548099386,929.615767258587,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,929.615767258587,929.615767258587,929.615767258587,929.615767258587,929.615767258587,929.615767258587,929.615767258587,50,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,936.642515545591,NA,NA,314,1,"2023-09-15_15h30.12.352","SELFtaskv6","2023.1.2",367.982059465693,NA,3
50,"UNDESIRABLE","n",15,"g",-280,0,"s",23,0,50,50,50,NA,NA,"",NA,1.167,844.135698127247,845.319205933964,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,845.319205933964,845.319205933964,845.319205933964,845.319205933964,845.319205933964,845.319205933964,845.319205933964,50,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,852.339761868938,NA,NA,314,1,"2023-09-15_15h30.12.352","SELFtaskv6","2023.1.2",367.982059465693,NA,3
50,"ORDINARY","n",30,"g",-160,0,"s",24,0,51,51,51,NA,NA,"",NA,2.167,859.323558215932,861.50368824679,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,861.50368824679,861.50368824679,861.50368824679,861.50368824679,861.50368824679,861.50368824679,861.50368824679,50,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,868.523434653336,NA,NA,314,1,"2023-09-15_15h30.12.352","SELFtaskv6","2023.1.2",367.982059465693,NA,3
80,"INTELLIGENT","p",60,"b",80,240,"b",9,0,27,27,27,NA,NA,"",NA,2.35,530.773780893138,533.141104844173,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,533.141104844173,533.141104844173,533.141104844173,533.141104844173,533.141104844173,533.141104844173,533.141104844173,75,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,540.159863375724,NA,NA,314,1,"2023-09-15_15h30.12.352","SELFtaskv6","2023.1.2",367.982059465693,NA,5
15,"INFERIOR","n",10,"g",-320,-280,"b",41,0,26,26,26,NA,NA,"",NA,1.05,515.700143388363,516.761361771314,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,516.761361771314,516.761361771314,516.761361771314,516.761361771314,516.761361771314,516.761361771314,516.761361771314,15,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,523.785664690822,NA,NA,314,1,"2023-09-15_15h30.12.352","SELFtaskv6","2023.1.2",367.982059465693,NA,1
15,"ANNOYING","n",25,"b",-200,-280,"b",42,0,37,37,37,NA,NA,"",NA,1.867,671.13062989902,673.011880668797,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,673.011880668797,673.011880668797,673.011880668797,673.011880668797,673.011880668797,673.011880668797,673.011880668797,25,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,680.034749704675,2.91129263713083,NA,314,1,"2023-09-15_15h30.12.352","SELFtaskv6","2023.1.2",367.982059465693,NA,1
80,"LIKABLE","p",60,"b",80,240,"b",10,0,13,13,13,NA,NA,"",NA,1.3,336.658254985527,337.976365524559,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,337.976365524559,337.976365524559,337.976365524559,337.976365524559,337.976365524559,337.976365524559,337.976365524559,70,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,344.994729816332,2.34100489045159,NA,314,1,"2023-09-15_15h30.12.352","SELFtaskv6","2023.1.2",367.982059465693,NA,5
80,"CHEERFUL","p",70,"b",160,240,"s",11,0,34,34,34,NA,NA,"",NA,2.534,628.172995883808,630.723060779772,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,630.723060779772,630.723060779772,630.723060779772,630.723060779772,630.723060779772,630.723060779772,630.723060779772,75,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,637.747913245632,0.530927200183214,NA,314,1,"2023-09-15_15h30.12.352","SELFtaskv6","2023.1.2",367.982059465693,NA,5
50,"NEEDY","n",25,"g",-200,0,"s",25,0,54,54,54,NA,NA,"",NA,2.167,902.130429650246,904.313528426082,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,904.313528426082,904.313528426082,904.313528426082,904.313528426082,904.313528426082,904.313528426082,904.313528426082,25,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,911.334095738828,NA,NA,314,1,"2023-09-15_15h30.12.352","SELFtaskv6","2023.1.2",367.982059465693,NA,3
