"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","thisRow.t","notes","wait.started","scan.started","keyresp.started","wait.stopped","keyresp.keys","keyresp.rt","keyresp.duration","j1.started","jitter","polygon.started","polygon.stopped","j1.stopped","belief_pound.started","belief_pound.stopped","belief_rate.started","belief_rate.stopped","resp1.keys","slider.response","slider.rt","count_pound.started","Adjective_3.started","vowelcount.started","count_pound.stopped","vowel_choose.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","vowel_choose.stopped","resp.keys","resp.rt","resp.duration","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","resp1.duration","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","complete.started","note.started","note.stopped","complete.stopped","participant","session","date","expName","psychopyVersion","frameRate","expStart","X","np"
25,"BORING","n",30,"b",-160,-200,"b",43,0,21,21,21,430.950958599977,NA,NA,NA,NA,NA,"",NA,"",430.949486099998,1.934,430.950958599977,432.898661199986,432.883197799994,432.883206899976,439.890385799983,439.890392399975,446.892077800003,"None","None","None",446.892162799981,NA,NA,446.89718499998,446.897193099983,NA,NA,NA,NA,NA,NA,NA,446.898058999999,"None",NA,"",432.898661199986,432.898661199986,432.898661199986,432.898661199986,432.898661199986,432.898661199986,432.898661199986,20,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,439.90865529998,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,3
60,"CONFIDENT","p",55,"b",40,80,"s",14,0,2,2,2,175.206778099993,NA,NA,NA,NA,NA,"",NA,"",175.204495199985,1.217,175.206778099993,176.432068199996,176.415146899992,176.415157199983,183.422320299986,183.422326499975,190.423535999988,"b","None","None",190.423716099991,NA,NA,190.428275299986,190.428282999987,NA,NA,NA,NA,NA,NA,NA,190.429366900004,"None",NA,"",176.432068199996,176.432068199996,176.432068199996,176.432068199996,176.432068199996,176.432068199996,176.432068199996,70,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,183.441300199978,0.0784548000083305,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,5
35,"ENTHUSIASTIC","p",45,"g",-40,-120,"s",37,0,23,23,23,456.046821900003,NA,NA,NA,NA,NA,"",NA,"",456.038735599985,2.934,456.046821900003,458.98427679998,458.97156429998,458.971572299983,465.97891569999,465.978922199982,472.979011999996,"b","None","None",472.97912209999,NA,NA,472.984539500001,472.984547200002,NA,NA,NA,NA,NA,NA,NA,472.9856631,"None",NA,"",458.98427679998,458.98427679998,458.98427679998,458.98427679998,458.98427679998,458.98427679998,458.98427679998,60,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,465.997835199989,2.53966209999635,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,5
25,"AGREEABLE","p",65,"g",120,-200,"b",44,0,10,10,10,278.818709399988,NA,NA,NA,NA,NA,"",NA,"",278.810617699986,1.684,278.818709399988,280.507742199989,280.493904299976,280.493914299994,287.501004199992,287.501010799984,294.500581300003,"None","None","None",294.500670399982,NA,NA,294.505551099981,294.505558799981,NA,NA,NA,NA,NA,NA,NA,294.506552599982,"None",NA,"",280.507742199989,280.507742199989,280.507742199989,280.507742199989,280.507742199989,280.507742199989,280.507742199989,40,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,287.518870599975,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,3
25,"LAZY","n",45,"b",-40,-200,"b",45,0,11,11,11,294.508816299989,NA,NA,NA,NA,NA,"",NA,"",294.506691699993,1.25,294.508816299989,295.763698399998,295.750351900002,295.750362399995,302.757420499984,302.757426800003,309.759174799983,"None","None","None",309.759260699997,NA,NA,309.762345900002,309.762353899976,NA,NA,NA,NA,NA,NA,NA,309.763127899991,"None",NA,"",295.763698399998,295.763698399998,295.763698399998,295.763698399998,295.763698399998,295.763698399998,295.763698399998,50,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,302.774214199977,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,3
40,"INSECURE","n",55,"b",40,-80,"s",35,0,38,38,38,668.762022599985,NA,NA,NA,NA,NA,"",NA,"",668.7587834,1.15,668.762022599985,669.918458699976,669.903781000001,669.903791199991,676.911069900001,676.911075699987,683.911252099992,"None","None","None",683.911343899992,NA,NA,683.915923699999,683.915931199997,NA,NA,NA,NA,NA,NA,NA,683.916807100002,"None",NA,"",669.918458699976,669.918458699976,669.918458699976,669.918458699976,669.918458699976,669.918458699976,669.918458699976,50,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,676.928932899988,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,2
65,"TALENTED","p",50,"b",0,120,"s",11,0,34,34,34,609.937167099997,NA,NA,NA,NA,NA,"",NA,"",609.935755299986,2.534,609.937167099997,612.482799799996,612.469291099987,612.469302299985,619.476542199991,619.476548999985,626.472823799995,"b","None","None",626.47297979999,NA,NA,626.478568299994,626.478577699978,NA,NA,NA,NA,NA,NA,NA,626.479531999998,"None",NA,"",612.482799799996,612.482799799996,612.482799799996,612.482799799996,612.482799799996,612.482799799996,612.482799799996,70,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,619.493899299996,0.82219880001503,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,5
45,"MOODY","n",55,"b",40,-40,"s",28,0,53,53,53,867.054120999994,NA,NA,NA,NA,NA,"",NA,"",867.046063299989,2.634,867.054120999994,869.687626699975,869.678880699998,869.678888199996,876.686364699999,876.68637109999,883.682266799995,"None","None","None",883.68235399999,NA,NA,883.68816759999,883.688175899995,NA,NA,NA,NA,NA,NA,NA,883.68893959999,"None",NA,"",869.687626699975,869.687626699975,869.687626699975,869.687626699975,869.687626699975,869.687626699975,869.687626699975,50,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,876.703943400003,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,3
30,"PATIENT","p",55,"g",30,-160,"s",40,0,25,25,25,482.518536799995,NA,NA,NA,NA,NA,"",NA,"",482.510381300002,1.05,482.518536799995,483.573743599991,483.560308299988,483.560318499978,490.56756179998,490.567568300001,497.575423699978,"None","None","None",497.575507399975,NA,NA,497.578692099982,497.578700999991,NA,NA,NA,NA,NA,NA,NA,497.579489099997,"None",NA,"",483.573743599991,483.573743599991,483.573743599991,483.573743599991,483.573743599991,483.573743599991,483.573743599991,50,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,490.586330499995,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,3
45,"WITTY","p",65,"g",120,-40,"s",29,0,45,45,45,759.217519999977,NA,NA,NA,NA,NA,"",NA,"",759.20942259999,2.901,759.217519999977,762.130416200001,762.117306300002,762.117316799995,769.124639199988,769.124645899981,776.124830099987,"None","None","None",776.124915399996,NA,NA,776.130070399988,776.130078599992,NA,NA,NA,NA,NA,NA,NA,776.130871200003,"None",NA,"",762.130416200001,762.130416200001,762.130416200001,762.130416200001,762.130416200001,762.130416200001,762.130416200001,80,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,769.142777100002,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,1,"2024-03-20_12h18.59.845","SELFtaskv6","2023.2.3",120.058684684675,"2024-03-20 12h19.04.704356 +1100",NA,3
