"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
50,"NEEDY","n",35,"g",-120,0,"s",26,0,57,57,57,NA,NA,"",NA,1.517,941.631545999999,943.1528048,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,943.1528048,943.1528048,943.1528048,943.1528048,943.1528048,943.1528048,943.1528048,40,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,950.1642732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
50,"HUMBLE","p",70,"g",160,0,"s",27,0,58,58,58,NA,NA,"",NA,1.667,957.155028899999,958.8272659,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,958.8272659,958.8272659,958.8272659,958.8272659,958.8272659,958.8272659,958.8272659,50,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,965.837675499999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
55,"CARELESS","n",40,"g",-80,40,"s",30,0,42,42,42,NA,NA,"",NA,2.017,742.7144646,744.739539799999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,744.739539799999,744.739539799999,744.739539799999,744.739539799999,744.739539799999,744.739539799999,744.739539799999,50,751.748045,751.748045,751.748045,751.748045,751.748045,751.748045,751.748045,751.748045,751.748045,751.748045,751.748045,751.748045,751.748045,751.748045,751.748045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
50,"SUCCESSFUL","p",60,"g",80,0,"s",28,0,53,53,53,NA,NA,"",NA,2.634,883.538878899999,886.1860925,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,886.1860925,886.1860925,886.1860925,886.1860925,886.1860925,886.1860925,886.1860925,50,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,893.197918799999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,5
60,"VALUABLE","p",60,"b",80,80,"s",18,0,17,17,17,NA,NA,"",NA,1.467,392.449263299999,393.921844499999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,393.921844499999,393.921844499999,393.921844499999,393.921844499999,393.921844499999,393.921844499999,393.921844499999,50,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,400.9318943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,5
35,"SELFISH","n",50,"b",0,-120,"s",37,0,23,23,23,NA,NA,"",NA,2.934,472.522945299999,475.465516299999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,475.465516299999,475.465516299999,475.465516299999,475.465516299999,475.465516299999,475.465516299999,475.465516299999,50,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,482.481362499999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
50,"ENTHUSIASTIC","p",55,"g",40,0,"s",29,0,45,45,45,NA,NA,"",NA,2.901,775.6854754,778.600765699999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,778.600765699999,778.600765699999,778.600765699999,778.600765699999,778.600765699999,778.600765699999,778.600765699999,50,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,785.6110422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
55,"AGREEABLE","p",50,"b",0,40,"s",24,0,51,51,51,NA,NA,"",NA,2.167,857.4086071,859.5811163,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,859.5811163,859.5811163,859.5811163,859.5811163,859.5811163,859.5811163,859.5811163,50,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,866.5913229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,3
30,"LAZY","n",55,"b",40,-160,"b",42,0,37,37,37,NA,NA,"",NA,1.867,669.3402412,671.2114516,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,671.2114516,671.2114516,671.2114516,671.2114516,671.2114516,671.2114516,671.2114516,40,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,678.2224197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
65,"INSECURE","n",55,"g",40,120,"b",8,0,5,5,5,NA,NA,"",NA,1.984,230.3614096,232.359852099999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,232.359852099999,232.359852099999,232.359852099999,232.359852099999,232.359852099999,232.359852099999,232.359852099999,50,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,239.369236699999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,1,"2024-04-12_14h49.21.560","SELFtaskv6","2023.1.0",119.71417044778,NA,2
