"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
30,"SELFISH","n",35,"b",-120,-160,"b",41,0,26,26,26,NA,NA,"",NA,1.05,496.5603413,497.617736,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",497.617736,497.617736,497.617736,497.617736,497.617736,497.617736,497.617736,35,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,504.6423765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,2
75,"CONFIDENT","p",65,"b",120,200,"s",11,0,34,34,34,NA,NA,"",NA,2.534,609.0419143,611.5878673,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",611.5878673,611.5878673,611.5878673,611.5878673,611.5878673,611.5878673,611.5878673,65,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,618.6102889,0.893656178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,5
70,"ENTHUSIASTIC","p",65,"b",120,160,"s",14,0,2,2,2,NA,NA,"",NA,1.217,173.8122655,175.0395244,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",175.0395244,175.0395244,175.0395244,175.0395244,175.0395244,175.0395244,175.0395244,80,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,182.0647873,2.64950016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,5
70,"AGREEABLE","p",60,"b",80,160,"s",15,0,47,47,47,NA,NA,"",NA,1.517,790.4776494,792.0201131,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",792.0201131,792.0201131,792.0201131,792.0201131,792.0201131,792.0201131,792.0201131,70,799.036505,799.036505,799.036505,799.036505,799.036505,799.036505,799.036505,799.036505,799.036505,799.036505,799.036505,799.036505,799.036505,799.036505,799.036505,4.552030151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,4
15,"LAZY","n",45,"b",-40,-280,"b",43,0,21,21,21,NA,NA,"",NA,1.934,429.866806,431.8199447,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",431.8199447,431.8199447,431.8199447,431.8199447,431.8199447,431.8199447,431.8199447,20,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,438.8440784,1.446945564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,2
65,"INSECURE","n",35,"g",-120,120,"s",18,0,17,17,17,NA,NA,"",NA,1.467,374.8304532,376.3164089,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",376.3164089,376.3164089,376.3164089,376.3164089,376.3164089,376.3164089,376.3164089,60,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,383.3410321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,2
60,"TALENTED","p",50,"b",0,80,"s",27,0,58,58,58,NA,NA,"",NA,1.667,940.2105014,941.8862663,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",941.8862663,941.8862663,941.8862663,941.8862663,941.8862663,941.8862663,941.8862663,55,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,948.9129281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,4
55,"MOODY","n",50,"g",0,40,"s",33,0,8,8,8,NA,NA,"",NA,2.217,252.5522984,254.7793755,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",254.7793755,254.7793755,254.7793755,254.7793755,254.7793755,254.7793755,254.7793755,50,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,261.8007162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,3
65,"PATIENT","p",40,"b",-80,120,"s",19,0,19,19,19,NA,NA,"",NA,1.367,398.8902724,400.2692873,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",400.2692873,400.2692873,400.2692873,400.2692873,400.2692873,400.2692873,400.2692873,40,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,407.2898253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,5
65,"WITTY","p",60,"b",80,120,"s",20,0,29,29,29,NA,NA,"",NA,1.067,536.2387814,537.3148277,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",537.3148277,537.3148277,537.3148277,537.3148277,537.3148277,537.3148277,537.3148277,65,544.337398,544.337398,544.337398,544.337398,544.337398,544.337398,544.337398,544.337398,544.337398,544.337398,544.337398,544.337398,544.337398,544.337398,544.337398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,1,"2023-10-27_15h56.23.070","SELFtaskv6","2023.1.2",59.87956383,5
