"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
75,"SENSITIVE","n",30,"g",-160,200,"s",21,0,20,20,20,NA,NA,"",NA,1.567,429.4124854,430.9976203,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,430.9976203,430.9976203,430.9976203,430.9976203,430.9976203,430.9976203,430.9976203,80,438.029919,438.029919,438.029919,438.029919,438.029919,438.029919,438.029919,438.029919,438.029919,438.029919,438.029919,438.029919,438.029919,438.029919,438.029919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,"2023-11-17_14h14.26.878","SELFtaskv6","2023.1.2",60.12544576,3
15,"UNIMPORTANT","n",10,"g",-320,-280,"s",32,0,46,46,46,NA,NA,"",NA,1,790.5535787,791.5646933,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,791.5646933,791.5646933,791.5646933,791.5646933,791.5646933,791.5646933,791.5646933,10,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,798.5962069,3.759033458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,"2023-11-17_14h14.26.878","SELFtaskv6","2023.1.2",60.12544576,3
5,"UNDESIRABLE","n",10,"b",-320,-360,"s",40,0,25,25,25,NA,NA,"",NA,1.05,496.6364345,497.6953409,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,497.6953409,497.6953409,497.6953409,497.6953409,497.6953409,497.6953409,497.6953409,0,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,504.7317769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,"2023-11-17_14h14.26.878","SELFtaskv6","2023.1.2",60.12544576,3
5,"HELPLESS","n",15,"b",-280,-360,"b",41,0,26,26,26,NA,NA,"",NA,1.05,511.6992438,512.7554384,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,512.7554384,512.7554384,512.7554384,512.7554384,512.7554384,512.7554384,512.7554384,5,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,519.7881574,2.968091022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,"2023-11-17_14h14.26.878","SELFtaskv6","2023.1.2",60.12544576,3
10,"ORDINARY","n",15,"b",-280,-320,"s",35,0,38,38,38,NA,NA,"",NA,1.15,683.0401286,684.2120991,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,684.2120991,684.2120991,684.2120991,684.2120991,684.2120991,684.2120991,684.2120991,10,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,691.2420955,1.889917724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,"2023-11-17_14h14.26.878","SELFtaskv6","2023.1.2",60.12544576,3
80,"INTELLIGENT","p",85,"g",280,240,"s",17,0,35,35,35,NA,NA,"",NA,2.4,640.7145589,643.1332161,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,643.1332161,643.1332161,643.1332161,643.1332161,643.1332161,643.1332161,643.1332161,80,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,650.1691463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,"2023-11-17_14h14.26.878","SELFtaskv6","2023.1.2",60.12544576,4
5,"INFERIOR","n",15,"b",-280,-360,"b",42,0,37,37,37,NA,NA,"",NA,1.867,667.1548769,669.0281924,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,669.0281924,669.0281924,669.0281924,669.0281924,669.0281924,669.0281924,669.0281924,5,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,676.0472684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,"2023-11-17_14h14.26.878","SELFtaskv6","2023.1.2",60.12544576,3
90,"LIKABLE","p",75,"b",200,320,"b",10,0,13,13,13,NA,NA,"",NA,1.3,332.566431,333.8775105,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,333.8775105,333.8775105,333.8775105,333.8775105,333.8775105,333.8775105,333.8775105,85,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,340.9093265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,"2023-11-17_14h14.26.878","SELFtaskv6","2023.1.2",60.12544576,5
25,"WEAK","n",10,"g",-320,-200,"s",31,0,16,16,16,NA,NA,"",NA,2.35,373.5861419,375.9433216,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,375.9433216,375.9433216,375.9433216,375.9433216,375.9433216,375.9433216,375.9433216,10,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,382.9774074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,"2023-11-17_14h14.26.878","SELFtaskv6","2023.1.2",60.12544576,3
15,"ASHAMED","n",20,"b",-240,-280,"s",33,0,8,8,8,NA,NA,"",NA,2.217,267.6514332,269.894551,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,269.894551,269.894551,269.894551,269.894551,269.894551,269.894551,269.894551,10,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,276.9327633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,"2023-11-17_14h14.26.878","SELFtaskv6","2023.1.2",60.12544576,3
