"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
20,"SELFISH","n",15,"g",-280,-240,"s",34,0,1,1,1,NA,NA,"",NA,1.684,149.997423217777,151.698115697771,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,151.698115697771,151.698115697771,151.698115697771,151.698115697771,151.698115697771,151.698115697771,151.698115697771,30,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,158.733643662214,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
65,"CONFIDENT","p",50,"b",0,120,"b",7,0,30,30,30,NA,NA,"",NA,2.117,543.08120832,545.217668266661,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,545.217668266661,545.217668266661,545.217668266661,545.217668266661,545.217668266661,545.217668266661,545.217668266661,45,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,552.235617564438,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
55,"ENTHUSIASTIC","p",65,"g",120,40,"s",15,0,47,47,47,NA,NA,"",NA,1.517,782.103163164444,783.634093226661,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,783.634093226661,783.634093226661,783.634093226661,783.634093226661,783.634093226661,783.634093226661,783.634093226661,55,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,790.652521528886,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
50,"AGREEABLE","p",60,"g",80,0,"s",19,0,19,19,19,NA,NA,"",NA,1.367,390.678278257779,392.058007608881,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,392.058007608881,392.058007608881,392.058007608881,392.058007608881,392.058007608881,392.058007608881,392.058007608881,50,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,399.080708551104,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
50,"LAZY","n",30,"g",-160,0,"s",20,0,29,29,29,NA,NA,"",NA,1.067,528.00003697777,529.078343111105,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,529.078343111105,529.078343111105,529.078343111105,529.078343111105,529.078343111105,529.078343111105,529.078343111105,45,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,536.101027271114,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
20,"INSECURE","n",35,"b",-120,-240,"s",35,0,38,38,38,NA,NA,"",NA,1.15,659.628794026663,660.795227591108,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,660.795227591108,660.795227591108,660.795227591108,660.795227591108,660.795227591108,660.795227591108,660.795227591108,20,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,667.814314951116,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
25,"TALENTED","p",55,"g",40,-200,"s",30,0,42,42,42,NA,NA,"",NA,2.017,717.148083768887,719.181544106672,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,719.181544106672,719.181544106672,719.181544106672,719.181544106672,719.181544106672,719.181544106672,719.181544106672,30,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,726.198731377779,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
20,"MOODY","n",30,"b",-160,-240,"s",36,0,15,15,15,NA,NA,"",NA,1.7,334.542281102214,336.259565795553,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,336.259565795553,336.259565795553,336.259565795553,336.259565795553,336.259565795553,336.259565795553,336.259565795553,20,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,343.286450631116,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
60,"PATIENT","p",75,"g",200,80,"b",8,0,5,5,5,NA,NA,"",NA,1.984,204.427988195559,206.430584319998,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,206.430584319998,206.430584319998,206.430584319998,206.430584319998,206.430584319998,206.430584319998,206.430584319998,70,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,213.450529280002,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,3
70,"WITTY","p",60,"b",80,160,"b",6,0,4,4,4,NA,NA,"",NA,1.417,188.989480106669,190.425035377775,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,190.425035377775,190.425035377775,190.425035377775,190.425035377775,190.425035377775,190.425035377775,190.425035377775,70,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,197.444679680004,NA,NA,317,1,"2023-10-06_14h25.34.272","SELFtaskv6","2023.1.2",370.463550392179,NA,5
