"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
40,"SENSITIVE","n",55,"b",40,-80,"s",27,0,58,58,58,NA,NA,"",NA,1.667,937.190616462147,938.865587200038,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,938.865587200038,938.865587200038,938.865587200038,938.865587200038,938.865587200038,938.865587200038,938.865587200038,40,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,945.898033493431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1,"2023-11-17_15h50.27.655","SELFtaskv6","2023.1.2",60.0097808164559,NA,3
50,"UNIMPORTANT","n",40,"g",-80,0,"s",19,0,19,19,19,NA,NA,"",NA,1.367,395.761469440069,397.137089706725,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,397.137089706725,397.137089706725,397.137089706725,397.137089706725,397.137089706725,397.137089706725,397.137089706725,50,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,404.170907875523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1,"2023-11-17_15h50.27.655","SELFtaskv6","2023.1.2",60.0097808164559,NA,3
20,"UNDESIRABLE","n",25,"b",-200,-240,"s",36,0,15,15,15,NA,NA,"",NA,1.7,339.610397866694,341.321011200082,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,341.321011200082,341.321011200082,341.321011200082,341.321011200082,341.321011200082,341.321011200082,341.321011200082,15,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,348.35422378662,2.96428231103346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1,"2023-11-17_15h50.27.655","SELFtaskv6","2023.1.2",60.0097808164559,NA,1
25,"HELPLESS","n",40,"b",-80,-200,"s",33,0,8,8,8,NA,NA,"",NA,2.217,249.369435022352,251.609923982294,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,251.609923982294,251.609923982294,251.609923982294,251.609923982294,251.609923982294,251.609923982294,251.609923982294,25,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,258.644548835466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1,"2023-11-17_15h50.27.655","SELFtaskv6","2023.1.2",60.0097808164559,NA,2
10,"ORDINARY","n",40,"b",-80,-320,"b",42,0,37,37,37,NA,NA,"",NA,1.867,648.956410026643,650.847811413463,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,650.847811413463,650.847811413463,650.847811413463,650.847811413463,650.847811413463,650.847811413463,650.847811413463,10,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,657.880507164402,0.600843662163243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1,"2023-11-17_15h50.27.655","SELFtaskv6","2023.1.2",60.0097808164559,NA,2
70,"INTELLIGENT","p",60,"b",80,160,"b",10,0,13,13,13,NA,NA,"",NA,1.3,314.285694293445,315.608527360018,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,315.608527360018,315.608527360018,315.608527360018,315.608527360018,315.608527360018,315.608527360018,315.608527360018,70,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,322.641831253422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1,"2023-11-17_15h50.27.655","SELFtaskv6","2023.1.2",60.0097808164559,NA,5
10,"INFERIOR","n",25,"b",-200,-320,"b",43,0,21,21,21,NA,NA,"",NA,1.934,426.747735608835,428.698099199915,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,428.698099199915,428.698099199915,428.698099199915,428.698099199915,428.698099199915,428.698099199915,428.698099199915,10,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,435.727683982346,2.45149895106442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1,"2023-11-17_15h50.27.655","SELFtaskv6","2023.1.2",60.0097808164559,NA,1
10,"ANNOYING","n",25,"b",-200,-320,"b",44,0,10,10,10,NA,NA,"",NA,1.684,274.379112960072,276.087086364394,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,276.087086364394,276.087086364394,276.087086364394,276.087086364394,276.087086364394,276.087086364394,276.087086364394,10,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,283.118438400095,0.912888319930062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1,"2023-11-17_15h50.27.655","SELFtaskv6","2023.1.2",60.0097808164559,NA,1
50,"LIKABLE","p",55,"g",40,0,"s",20,0,29,29,29,NA,NA,"",NA,1.067,533.122653013328,534.195717120077,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,534.195717120077,534.195717120077,534.195717120077,534.195717120077,534.195717120077,534.195717120077,534.195717120077,50,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,541.230531982146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1,"2023-11-17_15h50.27.655","SELFtaskv6","2023.1.2",60.0097808164559,NA,5
20,"CHEERFUL","p",30,"g",-160,-240,"s",37,0,23,23,23,NA,NA,"",NA,2.934,451.86213432881,454.808910222258,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,454.808910222258,454.808910222258,454.808910222258,454.808910222258,454.808910222258,454.808910222258,454.808910222258,20,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,461.836445013294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,1,"2023-11-17_15h50.27.655","SELFtaskv6","2023.1.2",60.0097808164559,NA,5
