"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
30,"SENSITIVE","n",50,"b",0,-160,"s",37,0,23,23,23,NA,NA,"",NA,2.934,462.627915093326,465.574087111047,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,465.574087111047,465.574087111047,465.574087111047,465.574087111047,465.574087111047,465.574087111047,465.574087111047,30,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,472.597419235506,0.380711822304875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,1,"2023-11-03_14h29.58.231","SELFtaskv6","2023.1.2",59.964437076353,NA,3
40,"UNIMPORTANT","n",50,"b",0,-80,"s",26,0,57,57,57,NA,NA,"",NA,1.517,932.354419484385,933.892880782252,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,933.892880782252,933.892880782252,933.892880782252,933.892880782252,933.892880782252,933.892880782252,933.892880782252,60,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,940.917502008844,3.06818446225952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,1,"2023-11-03_14h29.58.231","SELFtaskv6","2023.1.2",59.964437076353,NA,2
40,"UNDESIRABLE","n",45,"b",-40,-80,"s",27,0,58,58,58,NA,NA,"",NA,1.667,947.909323377768,949.587037582183,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,949.587037582183,949.587037582183,949.587037582183,949.587037582183,949.587037582183,949.587037582183,949.587037582183,40,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,956.612158577773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,1,"2023-11-03_14h29.58.231","SELFtaskv6","2023.1.2",59.964437076353,NA,2
60,"ORDINARY","n",55,"g",40,80,"b",7,0,30,30,30,NA,NA,"",NA,2.117,558.980589226703,561.108577848878,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,561.108577848878,561.108577848878,561.108577848878,561.108577848878,561.108577848878,561.108577848878,561.108577848878,65,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,568.132351999986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,1,"2023-11-03_14h29.58.231","SELFtaskv6","2023.1.2",59.964437076353,NA,3
40,"INTELLIGENT","p",65,"g",120,-80,"s",28,0,53,53,53,NA,NA,"",NA,2.634,874.206110151135,876.849534008885,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,876.849534008885,876.849534008885,876.849534008885,876.849534008885,876.849534008885,876.849534008885,876.849534008885,40,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,883.874546346604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,1,"2023-11-03_14h29.58.231","SELFtaskv6","2023.1.2",59.964437076353,NA,2
30,"INFERIOR","n",40,"b",-80,-160,"s",38,0,31,31,31,NA,NA,"",NA,2.25,575.126597688883,577.384987875586,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,577.384987875586,577.384987875586,577.384987875586,577.384987875586,577.384987875586,577.384987875586,577.384987875586,30,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,584.4083222755,1.21789553784765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,1,"2023-11-03_14h29.58.231","SELFtaskv6","2023.1.2",59.964437076353,NA,2
30,"ANNOYING","n",20,"g",-240,-160,"s",39,0,33,33,33,NA,NA,"",NA,2.684,599.992776533356,602.687908124411,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,602.687908124411,602.687908124411,602.687908124411,602.687908124411,602.687908124411,602.687908124411,602.687908124411,35,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,609.711784675601,1.7159458133392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,1,"2023-11-03_14h29.58.231","SELFtaskv6","2023.1.2",59.964437076353,NA,2
55,"LIKABLE","p",50,"b",0,40,"s",12,0,6,6,6,NA,NA,"",NA,1.9,236.166263751104,238.076412586612,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,238.076412586612,238.076412586612,238.076412586612,238.076412586612,238.076412586612,238.076412586612,238.076412586612,55,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,245.099267982179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,1,"2023-11-03_14h29.58.231","SELFtaskv6","2023.1.2",59.964437076353,NA,3
20,"WEAK","n",30,"b",-160,-240,"b",45,0,11,11,11,NA,NA,"",NA,1.25,300.86248618667,302.118813866633,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,302.118813866633,302.118813866633,302.118813866633,302.118813866633,302.118813866633,302.118813866633,302.118813866633,20,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,309.14538609772,4.43831239116844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,1,"2023-11-03_14h29.58.231","SELFtaskv6","2023.1.2",59.964437076353,NA,2
55,"CARELESS","n",65,"b",120,40,"s",13,0,41,41,41,NA,NA,"",NA,1.984,717.159106559935,719.155772017781,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,719.155772017781,719.155772017781,719.155772017781,719.155772017781,719.155772017781,719.155772017781,719.155772017781,60,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,726.177040497772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,1,"2023-11-03_14h29.58.231","SELFtaskv6","2023.1.2",59.964437076353,NA,2
