"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
70,"HUMBLE","p",85,"g",280,160,"s",14,0,2,2,2,NA,NA,"",NA,1.217,176.7325762,177.9610349,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,177.9610349,177.9610349,177.9610349,177.9610349,177.9610349,177.9610349,177.9610349,80,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,184.9673616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
20,"CARELESS","n",30,"b",-160,-240,"b",43,0,21,21,21,NA,NA,"",NA,1.934,432.459814,434.4001565,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,434.4001565,434.4001565,434.4001565,434.4001565,434.4001565,434.4001565,434.4001565,20,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,441.4108827,0.493469400000322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
75,"SUCCESSFUL","p",60,"b",80,200,"b",8,0,5,5,5,NA,NA,"",NA,1.984,215.4245971,217.4158231,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,217.4158231,217.4158231,217.4158231,217.4158231,217.4158231,217.4158231,217.4158231,75,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,224.429106099999,1.04596239999955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
25,"BORING","n",30,"b",-160,-200,"b",41,0,26,26,26,NA,NA,"",NA,1.05,499.0767774,500.1304463,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,500.1304463,500.1304463,500.1304463,500.1304463,500.1304463,500.1304463,500.1304463,25,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,507.145429999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,2
75,"VALUABLE","p",65,"b",120,200,"b",9,0,27,27,27,NA,NA,"",NA,2.35,514.135077999999,516.4958052,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,516.4958052,516.4958052,516.4958052,516.4958052,516.4958052,516.4958052,516.4958052,75,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,523.508141099999,0.681062499999825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
60,"CONFIDENT","p",75,"g",200,80,"s",24,0,51,51,51,NA,NA,"",NA,2.167,842.409772999999,844.5857141,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,844.5857141,844.5857141,844.5857141,844.5857141,844.5857141,844.5857141,844.5857141,60,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,851.5953264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
75,"AGREEABLE","p",85,"g",280,200,"b",10,0,13,13,13,NA,NA,"",NA,1.3,320.1654712,321.4705192,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,321.4705192,321.4705192,321.4705192,321.4705192,321.4705192,321.4705192,321.4705192,80,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,328.483268799999,2.30698910000137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
35,"LAZY","n",60,"b",80,-120,"s",35,0,38,38,38,NA,NA,"",NA,1.15,670.2571513,671.420543299999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,671.420543299999,671.420543299999,671.420543299999,671.420543299999,671.420543299999,671.420543299999,671.420543299999,35,678.430419,678.430419,678.430419,678.430419,678.430419,678.430419,678.430419,678.430419,678.430419,678.430419,678.430419,678.430419,678.430419,678.430419,678.430419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
50,"INSECURE","n",65,"b",120,0,"s",28,0,53,53,53,NA,NA,"",NA,2.634,868.5486606,871.187665599999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,871.187665599999,871.187665599999,871.187665599999,871.187665599999,871.187665599999,871.187665599999,871.187665599999,50,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,878.199574999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,3
65,"TALENTED","p",70,"g",160,120,"s",20,0,29,29,29,NA,NA,"",NA,1.067,538.722126799999,539.7959689,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,539.7959689,539.7959689,539.7959689,539.7959689,539.7959689,539.7959689,539.7959689,70,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,546.8060111,0.967233899998973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,1,"2024-03-15_14h39.02.367","SELFtaskv6","2023.1.0",120.018914981816,NA,4
