"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
0,"ASHAMED","n",15,"b",-280,-400,"b",44,0,10,10,10,NA,NA,"",NA,1.684,277.628608999999,279.357922499999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,279.357922499999,279.357922499999,279.357922499999,279.357922499999,279.357922499999,279.357922499999,279.357922499999,0,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,286.328034600003,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
0,"NEEDY","n",20,"b",-240,-400,"b",45,0,11,11,11,NA,NA,"",NA,1.25,293.325640499999,294.5768885,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,294.5768885,294.5768885,294.5768885,294.5768885,294.5768885,294.5768885,294.5768885,5,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,301.586770000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
50,"HUMBLE","p",70,"g",160,0,"s",16,0,40,40,40,NA,NA,"",NA,2.651,692.492423399999,695.1445552,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,695.1445552,695.1445552,695.1445552,695.1445552,695.1445552,695.1445552,695.1445552,50,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,702.155937800002,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
80,"SUCCESSFUL","p",65,"b",120,240,"b",7,0,30,30,30,NA,NA,"",NA,2.117,551.168596900003,553.286764800003,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,553.286764800003,553.286764800003,553.286764800003,553.286764800003,553.286764800003,553.286764800003,553.286764800003,80,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,560.2984918,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
5,"BORING","n",20,"b",-240,-360,"s",36,0,15,15,15,NA,NA,"",NA,1.7,342.752476100002,344.4535111,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,344.4535111,344.4535111,344.4535111,344.4535111,344.4535111,344.4535111,344.4535111,5,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,351.464672200003,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
80,"VALUABLE","p",65,"b",120,240,"b",8,0,5,5,5,NA,NA,"",NA,1.984,212.688479099997,214.673455800003,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,214.673455800003,214.673455800003,214.673455800003,214.673455800003,214.673455800003,214.673455800003,214.673455800003,80,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,221.684330399999,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,4
10,"SELFISH","n",20,"b",-240,-320,"s",30,0,42,42,42,NA,NA,"",NA,2.017,725.154320599999,727.172773700004,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,727.172773700004,727.172773700004,727.172773700004,727.172773700004,727.172773700004,727.172773700004,727.172773700004,10,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,734.189680399999,1.27443119999953,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
80,"CONFIDENT","p",70,"b",160,240,"b",9,0,27,27,27,NA,NA,"",NA,2.35,511.500434599999,513.852420299998,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,513.852420299998,513.852420299998,513.852420299998,513.852420299998,513.852420299998,513.852420299998,513.852420299998,80,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,520.863834700001,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
50,"ENTHUSIASTIC","p",65,"g",120,0,"s",17,0,35,35,35,NA,NA,"",NA,2.4,625.383835500004,627.785673099999,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,627.785673099999,627.785673099999,627.785673099999,627.785673099999,627.785673099999,627.785673099999,627.785673099999,55,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,634.800375999999,0.959616799998912,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
60,"AGREEABLE","p",80,"g",240,80,"s",15,0,47,47,47,NA,NA,"",NA,1.517,790.078050600001,791.595696299999,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,791.595696299999,791.595696299999,791.595696299999,791.595696299999,791.595696299999,791.595696299999,791.595696299999,65,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,798.606617800004,1.09838479999598,NA,NA,NA,NA,NA,NA,NA,NA,349,1,"2024-01-24_10h19.37.895","SELFtaskv6","2023.1.0",59.9796189265317,NA,3
