"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
85,"SENSITIVE","n",60,"g",80,280,"b",8,0,5,5,5,NA,NA,"",NA,1.984,1023.1823769,1025.1727853,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,1025.1727853,1025.1727853,1025.1727853,1025.1727853,1025.1727853,1025.1727853,1025.1727853,80,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,1032.1831185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1,"2024-02-16_14h43.31.138","SELFtaskv6","2023.1.0",120.014881846894,NA,4
20,"UNIMPORTANT","n",40,"b",-80,-240,"s",40,0,25,25,25,NA,NA,"",NA,1.05,1291.78244980001,1292.8403925,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,1292.8403925,1292.8403925,1292.8403925,1292.8403925,1292.8403925,1292.8403925,1292.8403925,20,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,1299.85140900001,2.16991550000967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1,"2024-02-16_14h43.31.138","SELFtaskv6","2023.1.0",120.014881846894,NA,3
10,"UNDESIRABLE","n",15,"b",-280,-320,"b",42,0,37,37,37,NA,NA,"",NA,1.867,1462.1113034,1463.98400780001,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,1463.98400780001,1463.98400780001,1463.98400780001,1463.98400780001,1463.98400780001,1463.98400780001,1463.98400780001,10,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,1470.9980679,3.5669712999952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1,"2024-02-16_14h43.31.138","SELFtaskv6","2023.1.0",120.014881846894,NA,2
35,"HELPLESS","n",30,"g",-160,-120,"s",36,0,15,15,15,NA,NA,"",NA,1.7,1153.2163023,1154.92084070001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,1154.92084070001,1154.92084070001,1154.92084070001,1154.92084070001,1154.92084070001,1154.92084070001,1154.92084070001,30,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,1161.9330986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1,"2024-02-16_14h43.31.138","SELFtaskv6","2023.1.0",120.014881846894,NA,3
60,"ORDINARY","n",35,"g",-120,80,"s",25,0,54,54,54,NA,NA,"",NA,2.167,1692.89083300001,1695.06510760001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,1695.06510760001,1695.06510760001,1695.06510760001,1695.06510760001,1695.06510760001,1695.06510760001,1695.06510760001,60,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,1702.0749741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1,"2024-02-16_14h43.31.138","SELFtaskv6","2023.1.0",120.014881846894,NA,3
50,"INTELLIGENT","p",75,"g",200,0,"s",30,0,42,42,42,NA,NA,"",NA,2.017,1535.4601658,1537.4814644,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,1537.4814644,1537.4814644,1537.4814644,1537.4814644,1537.4814644,1537.4814644,1537.4814644,55,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,1544.49457540001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1,"2024-02-16_14h43.31.138","SELFtaskv6","2023.1.0",120.014881846894,NA,3
40,"INFERIOR","n",30,"g",-160,-80,"s",34,0,1,1,1,NA,NA,"",NA,1.684,968.797501500012,970.49153900001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,970.49153900001,970.49153900001,970.49153900001,970.49153900001,970.49153900001,970.49153900001,970.49153900001,60,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,977.508574100008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1,"2024-02-16_14h43.31.138","SELFtaskv6","2023.1.0",120.014881846894,NA,4
20,"ANNOYING","n",30,"b",-160,-240,"b",41,0,26,26,26,NA,NA,"",NA,1.05,1306.8395539,1307.8964441,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,1307.8964441,1307.8964441,1307.8964441,1307.8964441,1307.8964441,1307.8964441,1307.8964441,20,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,1314.9067855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1,"2024-02-16_14h43.31.138","SELFtaskv6","2023.1.0",120.014881846894,NA,1
70,"LIKABLE","p",60,"b",80,160,"s",19,0,19,19,19,NA,NA,"",NA,1.367,1209.2926305,1210.66627630001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,1210.66627630001,1210.66627630001,1210.66627630001,1210.66627630001,1210.66627630001,1210.66627630001,1210.66627630001,70,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,1217.67668970001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1,"2024-02-16_14h43.31.138","SELFtaskv6","2023.1.0",120.014881846894,NA,5
65,"CHEERFUL","p",60,"b",80,120,"s",22,0,56,56,56,NA,NA,"",NA,1.617,1718.7210986,1720.3450845,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,1720.3450845,1720.3450845,1720.3450845,1720.3450845,1720.3450845,1720.3450845,1720.3450845,65,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,1727.35638360001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1,"2024-02-16_14h43.31.138","SELFtaskv6","2023.1.0",120.014881846894,NA,5
