"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
10,"SENSITIVE","n",35,"b",-120,-320,"s",30,0,42,42,42,NA,NA,"",NA,2.017,730.602067700005,732.629288299999,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,732.629288299999,732.629288299999,732.629288299999,732.629288299999,732.629288299999,732.629288299999,732.629288299999,20,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,739.642188600003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,3
5,"UNIMPORTANT","n",25,"b",-200,-360,"s",34,0,1,1,1,NA,NA,"",NA,1.684,163.869675399998,165.560471300007,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,165.560471300007,165.560471300007,165.560471300007,165.560471300007,165.560471300007,165.560471300007,165.560471300007,10,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,172.580581700022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,2
0,"UNDESIRABLE","n",15,"b",-280,-400,"b",43,0,21,21,21,NA,NA,"",NA,1.934,435.303144400008,437.240334000002,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,437.240334000002,437.240334000002,437.240334000002,437.240334000002,437.240334000002,437.240334000002,437.240334000002,10,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,444.254436700023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,1
0,"HELPLESS","n",15,"b",-280,-400,"b",44,0,10,10,10,NA,NA,"",NA,1.684,283.180194100016,284.86817620002,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,284.86817620002,284.86817620002,284.86817620002,284.86817620002,284.86817620002,284.86817620002,284.86817620002,5,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,291.879660600011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5836919999856,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,1
10,"ORDINARY","n",35,"b",-120,-320,"s",31,0,16,16,16,NA,NA,"",NA,2.35,363.978692500008,366.337236100022,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,366.337236100022,366.337236100022,366.337236100022,366.337236100022,366.337236100022,366.337236100022,366.337236100022,15,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,373.345623900008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,3
55,"INTELLIGENT","p",75,"g",200,40,"b",9,0,27,27,27,NA,NA,"",NA,2.35,516.960568500013,519.3175032,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,519.3175032,519.3175032,519.3175032,519.3175032,519.3175032,519.3175032,519.3175032,65,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,526.326077400008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,4
0,"INFERIOR","n",20,"b",-240,-400,"b",45,0,11,11,11,NA,NA,"",NA,1.25,298.869633900002,300.122480200022,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,300.122480200022,300.122480200022,300.122480200022,300.122480200022,300.122480200022,300.122480200022,300.122480200022,10,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,307.136089300009,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66686800000025,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,1
5,"ANNOYING","n",15,"b",-280,-360,"s",35,0,38,38,38,NA,NA,"",NA,1.15,673.132674399996,674.288670800015,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,674.288670800015,674.288670800015,674.288670800015,674.288670800015,674.288670800015,674.288670800015,674.288670800015,15,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,681.299345000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,1
50,"LIKABLE","p",65,"g",120,0,"b",10,0,13,13,13,NA,NA,"",NA,1.3,323.016946400021,324.324113800016,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,324.324113800016,324.324113800016,324.324113800016,324.324113800016,324.324113800016,324.324113800016,324.324113800016,50,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,331.334619900008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,4
75,"CHEERFUL","p",60,"b",80,200,"b",6,0,4,4,4,NA,NA,"",NA,1.417,202.823300700024,204.245316100016,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,204.245316100016,204.245316100016,204.245316100016,204.245316100016,204.245316100016,204.245316100016,204.245316100016,75,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,211.257156900014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,5
5,"WEAK","n",20,"b",-240,-360,"s",36,0,15,15,15,NA,NA,"",NA,1.7,348.272247000015,349.97800610002,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,349.97800610002,349.97800610002,349.97800610002,349.97800610002,349.97800610002,349.97800610002,349.97800610002,10,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,356.988040800003,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85051250000834,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,2
50,"HUMBLE","p",70,"g",160,0,"s",11,0,34,34,34,NA,NA,"",NA,2.534,614.298238200019,616.839452800021,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,616.839452800021,616.839452800021,616.839452800021,616.839452800021,616.839452800021,616.839452800021,616.839452800021,50,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,623.84832780002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,3
50,"SUCCESSFUL","p",65,"g",120,0,"s",12,0,6,6,6,NA,NA,"",NA,1.9,234.245880800008,236.160766400018,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,236.160766400018,236.160766400018,236.160766400018,236.160766400018,236.160766400018,236.160766400018,236.160766400018,50,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,243.169361900014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,1,"2024-02-14_12h26.31.914","SELFtaskv6","2023.1.0",120.294818573597,NA,4
