"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
40,"SENSITIVE","n",60,"b",80,-80,"s",36,0,15,15,15,NA,NA,"",NA,1.7,351.357197899953,353.063925199909,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,353.063925199909,353.063925199909,353.063925199909,353.063925199909,353.063925199909,353.063925199909,353.063925199909,55,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,360.074614599929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,1,"2024-02-09_16h06.16.450","SELFtaskv6","2023.1.0",120.01977929846,NA,2
50,"UNIMPORTANT","n",50,"g",0,0,"s",31,0,16,16,16,NA,NA,"",NA,2.35,367.070954700001,369.42646899994,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,369.42646899994,369.42646899994,369.42646899994,369.42646899994,369.42646899994,369.42646899994,369.42646899994,60,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,376.440241299919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,1,"2024-02-09_16h06.16.450","SELFtaskv6","2023.1.0",120.01977929846,NA,1
20,"UNDESIRABLE","n",30,"b",-160,-240,"b",44,0,10,10,10,NA,NA,"",NA,1.684,286.265049799928,287.955831900006,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,287.955831900006,287.955831900006,287.955831900006,287.955831900006,287.955831900006,287.955831900006,287.955831900006,25,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,294.967348099919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,1,"2024-02-09_16h06.16.450","SELFtaskv6","2023.1.0",120.01977929846,NA,1
60,"ORDINARY","n",45,"g",-40,80,"s",16,0,40,40,40,NA,NA,"",NA,2.651,700.972856699955,703.638238399988,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,703.638238399988,703.638238399988,703.638238399988,703.638238399988,703.638238399988,703.638238399988,703.638238399988,60,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,710.648644599947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,1,"2024-02-09_16h06.16.450","SELFtaskv6","2023.1.0",120.01977929846,NA,2
65,"INTELLIGENT","p",60,"b",80,120,"b",10,0,13,13,13,NA,NA,"",NA,1.3,326.093581699999,327.39880919992,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,327.39880919992,327.39880919992,327.39880919992,327.39880919992,327.39880919992,327.39880919992,327.39880919992,65,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,334.411435699905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,1,"2024-02-09_16h06.16.450","SELFtaskv6","2023.1.0",120.01977929846,NA,5
60,"LIKABLE","p",60,"g",80,80,"s",17,0,35,35,35,NA,NA,"",NA,2.4,633.881022699992,636.287538899924,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,636.287538899924,636.287538899924,636.287538899924,636.287538899924,636.287538899924,636.287538899924,636.287538899924,60,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,643.297989499988,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443198499968275,NA,359,1,"2024-02-09_16h06.16.450","SELFtaskv6","2023.1.0",120.01977929846,NA,4
45,"CHEERFUL","p",60,"g",80,-40,"s",34,0,1,1,1,NA,NA,"",NA,1.684,166.963003000012,168.656990099931,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,168.656990099931,168.656990099931,168.656990099931,168.656990099931,168.656990099931,168.656990099931,168.656990099931,55,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,175.67406479991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,1,"2024-02-09_16h06.16.450","SELFtaskv6","2023.1.0",120.01977929846,NA,4
25,"NEEDY","n",40,"b",-80,-200,"b",43,0,21,21,21,NA,NA,"",NA,1.934,438.388335999916,440.323608999955,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,440.323608999955,440.323608999955,440.323608999955,440.323608999955,440.323608999955,440.323608999955,440.323608999955,40,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,447.338511599926,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68034860002808,NA,359,1,"2024-02-09_16h06.16.450","SELFtaskv6","2023.1.0",120.01977929846,NA,2
60,"HUMBLE","p",70,"g",240,80,"s",18,0,17,17,17,NA,NA,"",NA,1.467,383.425905699958,384.899653799948,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,384.899653799948,384.899653799948,384.899653799948,384.899653799948,384.899653799948,384.899653799948,384.899653799948,65,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,391.911613999982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,1,"2024-02-09_16h06.16.450","SELFtaskv6","2023.1.0",120.01977929846,NA,4
65,"CARELESS","n",50,"g",0,120,"s",11,0,34,34,34,NA,NA,"",NA,2.534,617.340326100006,619.878450399963,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,619.878450399963,619.878450399963,619.878450399963,619.878450399963,619.878450399963,619.878450399963,619.878450399963,65,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,626.89192319999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,1,"2024-02-09_16h06.16.450","SELFtaskv6","2023.1.0",120.01977929846,NA,2
