"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
50,"UNIMPORTANT","n",40,"g",-80,0,"s",17,0,35,35,35,NA,NA,"",NA,2.4,640.733580400003,643.138935099996,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,643.138935099996,643.138935099996,643.138935099996,643.138935099996,643.138935099996,643.138935099996,643.138935099996,55,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,650.150229600025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1,"2024-04-17_09h59.02.130","SELFtaskv6","2023.1.0",120.198086499618,NA,3
25,"UNDESIRABLE","n",30,"b",-160,-200,"s",11,0,34,34,34,NA,NA,"",NA,2.534,624.185769300035,626.734421200003,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,626.734421200003,626.734421200003,626.734421200003,626.734421200003,626.734421200003,626.734421200003,626.734421200003,25,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,633.745123700006,1.49234160000924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1,"2024-04-17_09h59.02.130","SELFtaskv6","2023.1.0",120.198086499618,NA,2
5,"HELPLESS","n",30,"b",-160,-360,"s",21,0,20,20,20,NA,NA,"",NA,1.567,429.642399500008,431.215090900019,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,431.215090900019,431.215090900019,431.215090900019,431.215090900019,431.215090900019,431.215090900019,431.215090900019,5,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,438.226805599988,3.11791699996684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1,"2024-04-17_09h59.02.130","SELFtaskv6","2023.1.0",120.198086499618,NA,2
50,"ANNOYING","n",35,"g",-120,0,"s",19,0,19,19,19,NA,NA,"",NA,1.367,414.269264300005,415.640152100008,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,415.640152100008,415.640152100008,415.640152100008,415.640152100008,415.640152100008,415.640152100008,415.640152100008,30,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,422.653604399995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1,"2024-04-17_09h59.02.130","SELFtaskv6","2023.1.0",120.198086499618,NA,2
50,"LIKABLE","p",55,"g",40,0,"s",20,0,29,29,29,NA,NA,"",NA,1.067,551.46907739999,552.540285800002,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,552.540285800002,552.540285800002,552.540285800002,552.540285800002,552.540285800002,552.540285800002,552.540285800002,55,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,559.555281899986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1,"2024-04-17_09h59.02.130","SELFtaskv6","2023.1.0",120.198086499618,NA,4
80,"CHEERFUL","p",55,"b",40,240,"s",27,0,58,58,58,NA,NA,"",NA,1.667,954.936090699979,956.607864600024,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,956.607864600024,956.607864600024,956.607864600024,956.607864600024,956.607864600024,956.607864600024,956.607864600024,70,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,963.619593199983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1,"2024-04-17_09h59.02.130","SELFtaskv6","2023.1.0",120.198086499618,NA,5
50,"NEEDY","n",35,"g",-120,0,"s",23,0,50,50,50,NA,NA,"",NA,1.167,840.008453399991,841.181197000027,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,841.181197000027,841.181197000027,841.181197000027,841.181197000027,841.181197000027,841.181197000027,841.181197000027,45,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,848.191842400003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1,"2024-04-17_09h59.02.130","SELFtaskv6","2023.1.0",120.198086499618,NA,3
50,"HUMBLE","p",70,"g",160,0,"s",24,0,51,51,51,NA,NA,"",NA,2.167,855.181233100011,857.354844400019,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,857.354844400019,857.354844400019,857.354844400019,857.354844400019,857.354844400019,857.354844400019,857.354844400019,60,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,864.36404830002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1,"2024-04-17_09h59.02.130","SELFtaskv6","2023.1.0",120.198086499618,NA,4
50,"CARELESS","n",35,"g",-120,0,"s",25,0,54,54,54,NA,NA,"",NA,2.167,897.951665200002,900.124658100016,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,900.124658100016,900.124658100016,900.124658100016,900.124658100016,900.124658100016,900.124658100016,900.124658100016,25,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,907.134447699995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1,"2024-04-17_09h59.02.130","SELFtaskv6","2023.1.0",120.198086499618,NA,4
50,"VALUABLE","p",25,"b",-200,0,"s",28,0,53,53,53,NA,NA,"",NA,2.634,881.311670600029,883.950831099995,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,883.950831099995,883.950831099995,883.950831099995,883.950831099995,883.950831099995,883.950831099995,883.950831099995,45,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,890.962144299992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,1,"2024-04-17_09h59.02.130","SELFtaskv6","2023.1.0",120.198086499618,NA,3
