"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
75,"SENSITIVE","n",25,"g",-200,200,"s",18,0,17,17,17,NA,NA,"",NA,1.467,384.774501000007,386.245878300004,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,386.245878300004,386.245878300004,386.245878300004,386.245878300004,386.245878300004,386.245878300004,386.245878300004,60,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,393.26035940001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,1,"2024-02-02_14h37.47.220","SELFtaskv6","2023.1.0",120.633664506956,NA,3
15,"UNIMPORTANT","n",20,"b",-240,-280,"s",33,0,8,8,8,NA,NA,"",NA,2.217,262.624820800003,264.848955100009,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,264.848955100009,264.848955100009,264.848955100009,264.848955100009,264.848955100009,264.848955100009,264.848955100009,15,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,271.86048280001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,1,"2024-02-02_14h37.47.220","SELFtaskv6","2023.1.0",120.633664506956,NA,2
15,"UNDESIRABLE","n",20,"b",-240,-280,"s",34,0,1,1,1,NA,NA,"",NA,1.684,168.302904600001,169.995667800002,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,169.995667800002,169.995667800002,169.995667800002,169.995667800002,169.995667800002,169.995667800002,169.995667800002,40,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,177.014684599999,1.65823679999448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,1,"2024-02-02_14h37.47.220","SELFtaskv6","2023.1.0",120.633664506956,NA,2
80,"ORDINARY","n",35,"g",-120,240,"s",12,0,6,6,6,NA,NA,"",NA,1.9,238.660496800003,240.565410200012,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,240.565410200012,240.565410200012,240.565410200012,240.565410200012,240.565410200012,240.565410200012,240.565410200012,60,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,247.578498700008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,1,"2024-02-02_14h37.47.220","SELFtaskv6","2023.1.0",120.633664506956,NA,3
20,"INFERIOR","n",15,"g",-280,-240,"s",32,0,46,46,46,NA,NA,"",NA,1,784.879265100011,785.892674100003,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,785.892674100003,785.892674100003,785.892674100003,785.892674100003,785.892674100003,785.892674100003,785.892674100003,15,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,792.903388800012,3.40491539999493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,1,"2024-02-02_14h37.47.220","SELFtaskv6","2023.1.0",120.633664506956,NA,2
5,"ANNOYING","n",20,"b",-240,-360,"b",42,0,37,37,37,NA,NA,"",NA,1.867,661.617841800005,663.491022300004,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,663.491022300004,663.491022300004,663.491022300004,663.491022300004,663.491022300004,663.491022300004,663.491022300004,10,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,670.501828699998,3.00853180000558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,1,"2024-02-02_14h37.47.220","SELFtaskv6","2023.1.0",120.633664506956,NA,2
5,"WEAK","n",15,"b",-280,-360,"b",43,0,21,21,21,NA,NA,"",NA,1.934,439.728153400007,441.665556700012,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,441.665556700012,441.665556700012,441.665556700012,441.665556700012,441.665556700012,441.665556700012,441.665556700012,10,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,448.6783249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,1,"2024-02-02_14h37.47.220","SELFtaskv6","2023.1.0",120.633664506956,NA,2
5,"NEEDY","n",15,"b",-280,-360,"b",44,0,10,10,10,NA,NA,"",NA,1.684,287.588436200007,289.27775410001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,289.27775410001,289.27775410001,289.27775410001,289.27775410001,289.27775410001,289.27775410001,289.27775410001,5,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,296.288398100005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,1,"2024-02-02_14h37.47.220","SELFtaskv6","2023.1.0",120.633664506956,NA,2
75,"HUMBLE","p",60,"b",80,200,"s",19,0,19,19,19,NA,NA,"",NA,1.367,408.782046200009,410.155097700001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,410.155097700001,410.155097700001,410.155097700001,410.155097700001,410.155097700001,410.155097700001,410.155097700001,70,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,417.167579400004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,1,"2024-02-02_14h37.47.220","SELFtaskv6","2023.1.0",120.633664506956,NA,4
5,"CARELESS","n",25,"b",-200,-360,"b",45,0,11,11,11,NA,NA,"",NA,1.25,303.286290700009,304.541629500003,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,304.541629500003,304.541629500003,304.541629500003,304.541629500003,304.541629500003,304.541629500003,304.541629500003,10,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,311.554652200008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,1,"2024-02-02_14h37.47.220","SELFtaskv6","2023.1.0",120.633664506956,NA,2
