"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
50,"SENSITIVE","n",35,"g",-120,0,"s",23,0,50,50,50,NA,NA,"",NA,1.167,830.5909763,831.7671617,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,831.7671617,831.7671617,831.7671617,831.7671617,831.7671617,831.7671617,831.7671617,45,838.790749,838.790749,838.790749,838.790749,838.790749,838.790749,838.790749,838.790749,838.790749,838.790749,838.790749,838.790749,838.790749,838.790749,838.790749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,1,"2023-10-27_14h11.44.750","SELFtaskv6","2023.1.2",60.00353301,4
20,"UNIMPORTANT","n",45,"b",-40,-240,"b",43,0,21,21,21,NA,NA,"",NA,1.934,435.3090645,437.2682749,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,437.2682749,437.2682749,437.2682749,437.2682749,437.2682749,437.2682749,437.2682749,20,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,444.2932383,1.32261632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,1,"2023-10-27_14h11.44.750","SELFtaskv6","2023.1.2",60.00353301,2
50,"ORDINARY","n",30,"g",-160,0,"s",24,0,51,51,51,NA,NA,"",NA,2.167,845.7851324,847.9677776,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,847.9677776,847.9677776,847.9677776,847.9677776,847.9677776,847.9677776,847.9677776,50,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,854.9855528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,1,"2023-10-27_14h11.44.750","SELFtaskv6","2023.1.2",60.00353301,3
30,"WEAK","n",45,"b",-40,-160,"s",39,0,33,33,33,NA,NA,"",NA,2.684,597.8406773,600.5358202,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,600.5358202,600.5358202,600.5358202,600.5358202,600.5358202,600.5358202,600.5358202,20,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,607.5585337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,1,"2023-10-27_14h11.44.750","SELFtaskv6","2023.1.2",60.00353301,2
50,"ASHAMED","n",40,"g",-80,0,"s",25,0,54,54,54,NA,NA,"",NA,2.167,888.5829641,890.7644419,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,890.7644419,890.7644419,890.7644419,890.7644419,890.7644419,890.7644419,890.7644419,30,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,897.7827137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,1,"2023-10-27_14h11.44.750","SELFtaskv6","2023.1.2",60.00353301,3
60,"NEEDY","n",45,"g",-40,80,"s",17,0,35,35,35,NA,NA,"",NA,2.4,631.0884474,633.5129279,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,633.5129279,633.5129279,633.5129279,633.5129279,633.5129279,633.5129279,633.5129279,60,640.529375,640.529375,640.529375,640.529375,640.529375,640.529375,640.529375,640.529375,640.529375,640.529375,640.529375,640.529375,640.529375,640.529375,640.529375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,1,"2023-10-27_14h11.44.750","SELFtaskv6","2023.1.2",60.00353301,4
70,"CARELESS","n",40,"g",-80,160,"b",6,0,4,4,4,NA,NA,"",NA,1.417,202.5901204,204.0179985,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,204.0179985,204.0179985,204.0179985,204.0179985,204.0179985,204.0179985,204.0179985,55,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,211.0412791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,1,"2023-10-27_14h11.44.750","SELFtaskv6","2023.1.2",60.00353301,3
40,"SUCCESSFUL","p",50,"g",0,-80,"s",37,0,23,23,23,NA,NA,"",NA,2.934,460.4583831,463.4041341,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,463.4041341,463.4041341,463.4041341,463.4041341,463.4041341,463.4041341,463.4041341,45,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,470.4261476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,1,"2023-10-27_14h11.44.750","SELFtaskv6","2023.1.2",60.00353301,5
50,"BORING","n",40,"g",-80,0,"s",26,0,57,57,57,NA,NA,"",NA,1.517,930.0979698,931.6377745,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,931.6377745,931.6377745,931.6377745,931.6377745,931.6377745,931.6377745,931.6377745,40,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,938.6609653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,1,"2023-10-27_14h11.44.750","SELFtaskv6","2023.1.2",60.00353301,3
70,"VALUABLE","p",50,"b",0,160,"b",7,0,30,30,30,NA,NA,"",NA,2.117,556.811103,558.9389343,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,558.9389343,558.9389343,558.9389343,558.9389343,558.9389343,558.9389343,558.9389343,70,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,565.9595278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,1,"2023-10-27_14h11.44.750","SELFtaskv6","2023.1.2",60.00353301,5
