"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
80,"SENSITIVE","n",15,"g",-280,240,"s",15,0,47,47,47,NA,NA,"",NA,1.517,806.178314991936,807.707102602231,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,807.707102602231,807.707102602231,807.707102602231,807.707102602231,807.707102602231,807.707102602231,807.707102602231,20,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,814.738965481869,3.6120524162543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,1,"2023-12-08_16h06.43.480","SELFtaskv6","2023.1.2",60.9476844790836,NA,5
0,"UNIMPORTANT","n",5,"b",-360,-400,"s",33,0,8,8,8,NA,NA,"",NA,2.217,268.047337217547,270.287679267465,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,270.287679267465,270.287679267465,270.287679267465,270.287679267465,270.287679267465,270.287679267465,270.287679267465,0,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,277.323197256133,4.7751365545555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,1,"2023-12-08_16h06.43.480","SELFtaskv6","2023.1.2",60.9476844790836,NA,1
0,"UNDESIRABLE","n",10,"b",-320,-400,"s",34,0,1,1,1,NA,NA,"",NA,1.684,173.59060673957,175.289474679797,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,175.289474679797,175.289474679797,175.289474679797,175.289474679797,175.289474679797,175.289474679797,175.289474679797,0,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,182.324105202337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,1,"2023-12-08_16h06.43.480","SELFtaskv6","2023.1.2",60.9476844790836,NA,1
0,"HELPLESS","n",15,"b",-280,-400,"s",35,0,38,38,38,NA,NA,"",NA,1.15,683.601593968924,684.768694460508,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,684.768694460508,684.768694460508,684.768694460508,684.768694460508,684.768694460508,684.768694460508,684.768694460508,0,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,691.802989623218,2.18419331742916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,1,"2023-12-08_16h06.43.480","SELFtaskv6","2023.1.2",60.9476844790836,NA,2
10,"ORDINARY","n",15,"b",-280,-320,"s",31,0,16,16,16,NA,NA,"",NA,2.35,374.040046341659,376.408870451851,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,376.408870451851,376.408870451851,376.408870451851,376.408870451851,376.408870451851,376.408870451851,376.408870451851,5,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,383.443126076832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,1,"2023-12-08_16h06.43.480","SELFtaskv6","2023.1.2",60.9476844790836,NA,3
85,"INTELLIGENT","p",90,"g",320,280,"s",14,0,2,2,2,NA,NA,"",NA,1.217,189.30263989896,190.526511771604,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,190.526511771604,190.526511771604,190.526511771604,190.526511771604,190.526511771604,190.526511771604,190.526511771604,90,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,197.561257209629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,1,"2023-12-08_16h06.43.480","SELFtaskv6","2023.1.2",60.9476844790836,NA,5
0,"INFERIOR","n",5,"b",-360,-400,"s",36,0,15,15,15,NA,NA,"",NA,1.7,358.305994919268,360.028396926122,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,360.028396926122,360.028396926122,360.028396926122,360.028396926122,360.028396926122,360.028396926122,360.028396926122,0,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,367.061158365221,3.41912921931362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,1,"2023-12-08_16h06.43.480","SELFtaskv6","2023.1.2",60.9476844790836,NA,1
10,"ANNOYING","n",5,"g",-360,-320,"s",32,0,46,46,46,NA,NA,"",NA,1,791.166043496691,792.173180772632,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,792.173180772632,792.173180772632,792.173180772632,792.173180772632,792.173180772632,792.173180772632,792.173180772632,10,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,799.206808629038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,1,"2023-12-08_16h06.43.480","SELFtaskv6","2023.1.2",60.9476844790836,NA,2
80,"CHEERFUL","p",85,"g",280,240,"s",16,0,40,40,40,NA,NA,"",NA,2.651,708.490691987565,711.166221274354,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,711.166221274354,711.166221274354,711.166221274354,711.166221274354,711.166221274354,711.166221274354,711.166221274354,90,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,718.197922874067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,1,"2023-12-08_16h06.43.480","SELFtaskv6","2023.1.2",60.9476844790836,NA,5
0,"WEAK","n",5,"b",-360,-400,"s",37,0,23,23,23,NA,NA,"",NA,2.934,470.658877634094,473.612784575846,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,473.612784575846,473.612784575846,473.612784575846,473.612784575846,473.612784575846,473.612784575846,473.612784575846,0,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,480.645249624038,0.713698011764791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,1,"2023-12-08_16h06.43.480","SELFtaskv6","2023.1.2",60.9476844790836,NA,1
