"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
20,"NEEDY","n",10,"g",-320,-240,"s",38,0,31,31,31,NA,NA,"",NA,2.25,576.1931881,578.4482324,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,578.4482324,578.4482324,578.4482324,578.4482324,578.4482324,578.4482324,578.4482324,20,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,585.4742531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,2
60,"HUMBLE","p",80,"g",240,80,"s",25,0,54,54,54,NA,NA,"",NA,2.167,891.7869315,893.9623125,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,893.9623125,893.9623125,893.9623125,893.9623125,893.9623125,893.9623125,893.9623125,60,900.985784,900.985784,900.985784,900.985784,900.985784,900.985784,900.985784,900.985784,900.985784,900.985784,900.985784,900.985784,900.985784,900.985784,900.985784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
10,"CARELESS","n",20,"b",-240,-320,"b",42,0,37,37,37,NA,NA,"",NA,1.867,660.7364415,662.6119962,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,662.6119962,662.6119962,662.6119962,662.6119962,662.6119962,662.6119962,662.6119962,10,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,669.6363008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,1
75,"SUCCESSFUL","p",60,"b",80,200,"s",11,0,34,34,34,NA,NA,"",NA,2.534,617.7398346,620.2829798,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,620.2829798,620.2829798,620.2829798,620.2829798,620.2829798,620.2829798,620.2829798,75,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,627.3076619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
60,"BORING","n",30,"g",-160,80,"s",26,0,57,57,57,NA,NA,"",NA,1.517,933.2883681,934.8249353,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,934.8249353,934.8249353,934.8249353,934.8249353,934.8249353,934.8249353,934.8249353,60,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,941.8477397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,3
50,"VALUABLE","p",70,"g",160,0,"s",29,0,45,45,45,NA,NA,"",NA,2.901,767.1628188,770.0730786,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,770.0730786,770.0730786,770.0730786,770.0730786,770.0730786,770.0730786,770.0730786,65,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,777.0972737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
30,"SELFISH","n",20,"g",-240,-160,"s",32,0,46,46,46,NA,NA,"",NA,1,784.0817678,785.0980784,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,785.0980784,785.0980784,785.0980784,785.0980784,785.0980784,785.0980784,785.0980784,25,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,792.1242462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,2
75,"AGREEABLE","p",55,"b",40,200,"s",12,0,6,6,6,NA,NA,"",NA,1.9,237.3824105,239.2945513,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,239.2945513,239.2945513,239.2945513,239.2945513,239.2945513,239.2945513,239.2945513,70,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,246.3156944,2.23116544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,4
30,"LAZY","n",45,"b",-40,-160,"s",33,0,8,8,8,NA,NA,"",NA,2.217,261.3832496,263.6089637,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,263.6089637,263.6089637,263.6089637,263.6089637,263.6089637,263.6089637,263.6089637,30,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,270.6332863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,2
50,"INSECURE","n",25,"g",-200,0,"s",30,0,42,42,42,NA,NA,"",NA,2.017,734.1222639,736.1485244,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,736.1485244,736.1485244,736.1485244,736.1485244,736.1485244,736.1485244,736.1485244,50,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,743.1733498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,1,"2023-10-13_14h21.29.342","SELFtaskv6","2023.1.2",59.93611929,3
