"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
80,"SENSITIVE","n",50,"g",0,240,"s",17,0,35,35,35,NA,NA,"",NA,2.4,618.707325199852,621.112945899833,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,621.112945899833,621.112945899833,621.112945899833,621.112945899833,621.112945899833,621.112945899833,621.112945899833,80,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,628.126247799955,1.37222280004062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,1,"2024-03-13_10h05.29.580","SELFtaskv6","2023.1.0",120.03735546229,NA,3
20,"UNIMPORTANT","n",30,"b",-160,-240,"s",30,0,42,42,42,NA,NA,"",NA,2.017,718.462166899815,720.483609899879,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,720.483609899879,720.483609899879,720.483609899879,720.483609899879,720.483609899879,720.483609899879,720.483609899879,20,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,727.497352299979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,1,"2024-03-13_10h05.29.580","SELFtaskv6","2023.1.0",120.03735546229,NA,2
10,"UNDESIRABLE","n",15,"b",-280,-320,"b",44,0,10,10,10,NA,NA,"",NA,1.684,271.091537999921,272.785100699868,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,272.785100699868,272.785100699868,272.785100699868,272.785100699868,272.785100699868,272.785100699868,272.785100699868,10,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,279.793811099837,3.4501018000301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,1,"2024-03-13_10h05.29.580","SELFtaskv6","2023.1.0",120.03735546229,NA,2
20,"HELPLESS","n",30,"b",-160,-240,"s",31,0,16,16,16,NA,NA,"",NA,2.35,351.906548999948,354.261326799868,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,354.261326799868,354.261326799868,354.261326799868,354.261326799868,354.261326799868,354.261326799868,354.261326799868,20,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,361.273119200021,3.11712209996767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,1,"2024-03-13_10h05.29.580","SELFtaskv6","2023.1.0",120.03735546229,NA,3
50,"ORDINARY","n",25,"g",-200,0,"s",28,0,53,53,53,NA,NA,"",NA,2.634,859.261946299812,861.900559599977,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,861.900559599977,861.900559599977,861.900559599977,861.900559599977,861.900559599977,861.900559599977,861.900559599977,30,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,868.913330399897,1.44139900011942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,1,"2024-03-13_10h05.29.580","SELFtaskv6","2023.1.0",120.03735546229,NA,3
20,"INFERIOR","n",10,"g",-320,-240,"s",32,0,46,46,46,NA,NA,"",NA,1,768.354066399857,769.360488299979,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,769.360488299979,769.360488299979,769.360488299979,769.360488299979,769.360488299979,769.360488299979,769.360488299979,15,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,776.372672799975,1.71913059987128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,1,"2024-03-13_10h05.29.580","SELFtaskv6","2023.1.0",120.03735546229,NA,2
15,"ANNOYING","n",20,"b",-240,-280,"s",39,0,33,33,33,NA,NA,"",NA,2.684,585.478443299886,588.167670299998,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,588.167670299998,588.167670299998,588.167670299998,588.167670299998,588.167670299998,588.167670299998,588.167670299998,15,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,595.179413599893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,1,"2024-03-13_10h05.29.580","SELFtaskv6","2023.1.0",120.03735546229,NA,2
80,"LIKABLE","p",65,"b",120,240,"b",6,0,4,4,4,NA,NA,"",NA,1.417,190.742903299862,192.164968200028,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,192.164968200028,192.164968200028,192.164968200028,192.164968200028,192.164968200028,192.164968200028,192.164968200028,80,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,199.177302299999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,1,"2024-03-13_10h05.29.580","SELFtaskv6","2023.1.0",120.03735546229,NA,4
70,"CHEERFUL","p",85,"g",280,160,"s",22,0,56,56,56,NA,NA,"",NA,1.617,901.72346280003,903.348527599825,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,903.348527599825,903.348527599825,903.348527599825,903.348527599825,903.348527599825,903.348527599825,903.348527599825,80,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,910.358490000013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,1,"2024-03-13_10h05.29.580","SELFtaskv6","2023.1.0",120.03735546229,NA,4
20,"WEAK","n",30,"b",-160,-240,"s",33,0,8,8,8,NA,NA,"",NA,2.217,246.136223699898,248.357321699848,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,248.357321699848,248.357321699848,248.357321699848,248.357321699848,248.357321699848,248.357321699848,248.357321699848,20,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,255.369372999994,3.12465550005436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,1,"2024-03-13_10h05.29.580","SELFtaskv6","2023.1.0",120.03735546229,NA,3
