"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
15,"SENSITIVE","n",45,"b",-40,-280,"s",35,0,38,38,38,NA,NA,"",NA,1.15,660.939038900004,662.09991450001,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,662.09991450001,662.09991450001,662.09991450001,662.09991450001,662.09991450001,662.09991450001,662.09991450001,30,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,669.111280000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,1,"2024-01-31_11h57.29.344","SELFtaskv6","2023.1.0",120.055801935365,NA,3
25,"UNIMPORTANT","n",35,"b",-120,-200,"s",30,0,42,42,42,NA,NA,"",NA,2.017,718.411893900004,720.43728530001,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,720.43728530001,720.43728530001,720.43728530001,720.43728530001,720.43728530001,720.43728530001,720.43728530001,35,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,727.447334600001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831646100006765,NA,NA,346,1,"2024-01-31_11h57.29.344","SELFtaskv6","2023.1.0",120.055801935365,NA,3
0,"UNDESIRABLE","n",20,"b",-240,-400,"b",42,0,37,37,37,NA,NA,"",NA,1.867,645.062810300005,646.937608700013,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,646.937608700013,646.937608700013,646.937608700013,646.937608700013,646.937608700013,646.937608700013,646.937608700013,0,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,653.947882700013,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89492390000669,NA,NA,346,1,"2024-01-31_11h57.29.344","SELFtaskv6","2023.1.0",120.055801935365,NA,2
0,"HELPLESS","n",15,"b",-280,-400,"b",43,0,21,21,21,NA,NA,"",NA,1.934,423.181679700006,425.117448900011,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,425.117448900011,425.117448900011,425.117448900011,425.117448900011,425.117448900011,425.117448900011,425.117448900011,0,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,432.132853700008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,1,"2024-01-31_11h57.29.344","SELFtaskv6","2023.1.0",120.055801935365,NA,1
50,"ORDINARY","n",30,"g",-160,0,"s",26,0,57,57,57,NA,NA,"",NA,1.517,917.32034050001,918.8467772,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,918.8467772,918.8467772,918.8467772,918.8467772,918.8467772,918.8467772,918.8467772,40,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,925.855510699999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,1,"2024-01-31_11h57.29.344","SELFtaskv6","2023.1.0",120.055801935365,NA,3
0,"INFERIOR","n",20,"b",-240,-400,"b",44,0,10,10,10,NA,NA,"",NA,1.684,271.050751400006,272.739736100004,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,272.739736100004,272.739736100004,272.739736100004,272.739736100004,272.739736100004,272.739736100004,272.739736100004,0,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,279.750643000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75576049998926,NA,NA,346,1,"2024-01-31_11h57.29.344","SELFtaskv6","2023.1.0",120.055801935365,NA,2
80,"ANNOYING","n",40,"g",-80,240,"b",7,0,30,30,30,NA,NA,"",NA,2.117,544.4774798,546.607277400006,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,546.607277400006,546.607277400006,546.607277400006,546.607277400006,546.607277400006,546.607277400006,546.607277400006,60,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,553.616595300002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,1,"2024-01-31_11h57.29.344","SELFtaskv6","2023.1.0",120.055801935365,NA,2
75,"LIKABLE","p",60,"b",80,200,"s",11,0,34,34,34,NA,NA,"",NA,2.534,602.125996500006,604.665543499999,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,604.665543499999,604.665543499999,604.665543499999,604.665543499999,604.665543499999,604.665543499999,604.665543499999,65,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,611.676572200013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5845405,NA,NA,346,1,"2024-01-31_11h57.29.344","SELFtaskv6","2023.1.0",120.055801935365,NA,4
65,"CHEERFUL","p",50,"b",0,120,"s",18,0,17,17,17,NA,NA,"",NA,1.467,368.21336970001,369.686399700004,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,369.686399700004,369.686399700004,369.686399700004,369.686399700004,369.686399700004,369.686399700004,369.686399700004,50,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,376.69845180001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,1,"2024-01-31_11h57.29.344","SELFtaskv6","2023.1.0",120.055801935365,NA,4
0,"WEAK","n",25,"b",-200,-400,"b",45,0,11,11,11,NA,NA,"",NA,1.25,286.736279100005,287.996633500006,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,287.996633500006,287.996633500006,287.996633500006,287.996633500006,287.996633500006,287.996633500006,287.996633500006,5,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,295.006633000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,1,"2024-01-31_11h57.29.344","SELFtaskv6","2023.1.0",120.055801935365,NA,2
