"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
65,"CARELESS","n",40,"g",-80,120,"b",9,0,27,27,27,NA,NA,"",NA,2.35,522.650970168877,525.021418382181,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,525.021418382181,525.021418382181,525.021418382181,525.021418382181,525.021418382181,525.021418382181,525.021418382181,75,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,532.047942826641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
60,"BORING","n",30,"g",-160,80,"s",16,0,40,40,40,NA,NA,"",NA,2.651,703.77332138666,706.436852337793,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,706.436852337793,706.436852337793,706.436852337793,706.436852337793,706.436852337793,706.436852337793,706.436852337793,60,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,713.461163235595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
60,"VALUABLE","p",50,"b",0,80,"s",17,0,35,35,35,NA,NA,"",NA,2.4,636.606369280024,639.018697386724,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,639.018697386724,639.018697386724,639.018697386724,639.018697386724,639.018697386724,639.018697386724,639.018697386724,60,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,646.046502115554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,4
60,"SELFISH","n",40,"g",-80,80,"s",18,0,17,17,17,NA,NA,"",NA,1.467,385.86241820443,387.338377955602,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,387.338377955602,387.338377955602,387.338377955602,387.338377955602,387.338377955602,387.338377955602,387.338377955602,60,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,394.364998542238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
35,"CONFIDENT","p",45,"g",-40,-120,"s",36,0,15,15,15,NA,NA,"",NA,1.7,353.773016746622,355.486900053336,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,355.486900053336,355.486900053336,355.486900053336,355.486900053336,355.486900053336,355.486900053336,355.486900053336,35,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,362.511641600053,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42787982220761,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,5
45,"ENTHUSIASTIC","p",50,"g",0,-40,"s",32,0,46,46,46,NA,NA,"",NA,1,786.415860337787,787.424303502194,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,787.424303502194,787.424303502194,787.424303502194,787.424303502194,787.424303502194,787.424303502194,787.424303502194,40,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,794.45462471107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,4
70,"AGREEABLE","p",55,"b",-40,160,"b",7,0,30,30,30,NA,NA,"",NA,2.117,562.36318492447,564.501079893322,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,564.501079893322,564.501079893322,564.501079893322,564.501079893322,564.501079893322,564.501079893322,564.501079893322,55,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,571.525231786654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,4
65,"INSECURE","n",30,"g",-160,120,"b",10,0,13,13,13,NA,NA,"",NA,1.3,328.488934115507,329.80155420443,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,329.80155420443,329.80155420443,329.80155420443,329.80155420443,329.80155420443,329.80155420443,329.80155420443,60,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,336.826375395525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,2
75,"TALENTED","p",50,"b",0,200,"b",6,0,4,4,4,NA,NA,"",NA,1.417,208.151722382172,209.577150862198,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,209.577150862198,209.577150862198,209.577150862198,209.577150862198,209.577150862198,209.577150862198,209.577150862198,70,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,216.604919466656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,5
40,"MOODY","n",30,"g",-160,-80,"s",34,0,1,1,1,NA,NA,"",NA,1.684,169.122951111058,170.817809919943,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,170.817809919943,170.817809919943,170.817809919943,170.817809919943,170.817809919943,170.817809919943,170.817809919943,45,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,177.853201066609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,3
50,"PATIENT","p",60,"g",80,0,"s",29,0,45,45,45,NA,NA,"",NA,2.901,769.486938737798,772.399193031131,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,772.399193031131,772.399193031131,772.399193031131,772.399193031131,772.399193031131,772.399193031131,772.399193031131,50,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,779.425853439956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,5
35,"WITTY","p",55,"g",40,-120,"s",37,0,23,23,23,NA,NA,"",NA,2.934,466.019452586654,468.96780856885,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,468.96780856885,468.96780856885,468.96780856885,468.96780856885,468.96780856885,468.96780856885,468.96780856885,40,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,475.989472426707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,4
60,"EFFICIENT","p",35,"b",-120,80,"s",19,0,19,19,19,NA,NA,"",NA,1.367,409.92912924441,411.306729528937,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,411.306729528937,411.306729528937,411.306729528937,411.306729528937,411.306729528937,411.306729528937,411.306729528937,65,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,418.333771377802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,5
60,"COMPETENT","p",50,"b",0,80,"s",20,0,29,29,29,NA,NA,"",NA,1.067,547.262653440004,548.355973119964,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,548.355973119964,548.355973119964,548.355973119964,548.355973119964,548.355973119964,548.355973119964,548.355973119964,70,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,555.382048711064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,5
60,"RESERVED","n",40,"g",-80,80,"s",21,0,20,20,20,NA,NA,"",NA,1.567,425.306611484499,426.884595199954,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,426.884595199954,426.884595199954,426.884595199954,426.884595199954,426.884595199954,426.884595199954,426.884595199954,60,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,433.911561671062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,3
30,"ADMIRABLE","p",50,"g",0,-160,"s",38,0,31,31,31,NA,NA,"",NA,2.25,578.501859271084,580.758851982187,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,580.758851982187,580.758851982187,580.758851982187,580.758851982187,580.758851982187,580.758851982187,580.758851982187,30,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,587.788036551094,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610997475567274,NA,322,1,"2023-10-20_14h12.57.310","SELFtaskv6","2023.1.2",60.0214604977234,NA,5
