"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
65,"SENSITIVE","n",40,"g",-80,120,"s",22,0,56,56,56,NA,NA,"",NA,1.617,917.359644299999,918.9814701,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,918.9814701,918.9814701,918.9814701,918.9814701,918.9814701,918.9814701,918.9814701,60,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,925.993831499996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,1,"2024-01-31_10h20.19.038","SELFtaskv6","2023.1.0",120.104394741344,NA,3
25,"UNIMPORTANT","n",35,"b",-120,-200,"s",38,0,31,31,31,NA,NA,"",NA,2.25,576.2682498,578.525168300002,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,578.525168300002,578.525168300002,578.525168300002,578.525168300002,578.525168300002,578.525168300002,578.525168300002,25,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,585.536714299997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,1,"2024-01-31_10h20.19.038","SELFtaskv6","2023.1.0",120.104394741344,NA,2
50,"ORDINARY","n",30,"g",-160,0,"s",28,0,53,53,53,NA,NA,"",NA,2.634,874.873229199999,877.513930599998,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,877.513930599998,877.513930599998,877.513930599998,877.513930599998,877.513930599998,877.513930599998,877.513930599998,50,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,884.523718800003,0.965883800003212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,1,"2024-01-31_10h20.19.038","SELFtaskv6","2023.1.0",120.104394741344,NA,3
70,"INTELLIGENT","p",60,"b",80,160,"s",14,0,2,2,2,NA,NA,"",NA,1.217,183.065605299998,184.290868800002,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,184.290868800002,184.290868800002,184.290868800002,184.290868800002,184.290868800002,184.290868800002,184.290868800002,70,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,191.301321200001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,1,"2024-01-31_10h20.19.038","SELFtaskv6","2023.1.0",120.104394741344,NA,5
30,"ANNOYING","n",35,"b",-120,-160,"s",34,0,1,1,1,NA,NA,"",NA,1.684,167.377331900003,169.069243899998,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,169.069243899998,169.069243899998,169.069243899998,169.069243899998,169.069243899998,169.069243899998,169.069243899998,30,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,176.086848400002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,1,"2024-01-31_10h20.19.038","SELFtaskv6","2023.1.0",120.104394741344,NA,2
70,"LIKABLE","p",75,"g",200,160,"s",15,0,47,47,47,NA,NA,"",NA,1.517,798.982464300003,800.5023831,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,800.5023831,800.5023831,800.5023831,800.5023831,800.5023831,800.5023831,800.5023831,70,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,807.5160234,1.60063290000107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,1,"2024-01-31_10h20.19.038","SELFtaskv6","2023.1.0",120.104394741344,NA,4
30,"WEAK","n",20,"g",-240,-160,"s",35,0,38,38,38,NA,NA,"",NA,1.15,676.606406400002,677.762716799996,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,677.762716799996,677.762716799996,677.762716799996,677.762716799996,677.762716799996,677.762716799996,677.762716799996,25,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,684.7724237,3.57431550000183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,1,"2024-01-31_10h20.19.038","SELFtaskv6","2023.1.0",120.104394741344,NA,2
25,"ASHAMED","n",15,"g",-280,-200,"s",39,0,33,33,33,NA,NA,"",NA,2.684,601.098723900002,603.791561899998,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,603.791561899998,603.791561899998,603.791561899998,603.791561899998,603.791561899998,603.791561899998,603.791561899998,25,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,610.798965900001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,1,"2024-01-31_10h20.19.038","SELFtaskv6","2023.1.0",120.104394741344,NA,1
25,"NEEDY","n",30,"b",-160,-200,"s",40,0,25,25,25,NA,NA,"",NA,1.05,490.370731299998,491.428067599998,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,491.428067599998,491.428067599998,491.428067599998,491.428067599998,491.428067599998,491.428067599998,491.428067599998,25,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,498.437012900002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,1,"2024-01-31_10h20.19.038","SELFtaskv6","2023.1.0",120.104394741344,NA,1
80,"HUMBLE","p",75,"b",200,240,"b",6,0,4,4,4,NA,NA,"",NA,1.417,206.3392112,207.7621822,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,207.7621822,207.7621822,207.7621822,207.7621822,207.7621822,207.7621822,207.7621822,80,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,214.773073600001,1.35849820000294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,1,"2024-01-31_10h20.19.038","SELFtaskv6","2023.1.0",120.104394741344,NA,5
