"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
65,"SENSITIVE","n",75,"b",200,120,"s",23,0,50,50,50,NA,NA,"",NA,1.167,859.158881900134,860.331134200096,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,860.331134200096,860.331134200096,860.331134200096,860.331134200096,860.331134200096,860.331134200096,860.331134200096,80,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,867.343179299962,2.76562740001827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1,"2024-04-05_14h37.44.393","SELFtaskv6","2023.1.0",119.999904222863,NA,1
50,"UNIMPORTANT","n",55,"b",40,0,"s",29,0,45,45,45,NA,NA,"",NA,2.901,792.617309600115,795.531543700024,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,795.531543700024,795.531543700024,795.531543700024,795.531543700024,795.531543700024,795.531543700024,795.531543700024,50,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,802.543435300002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1,"2024-04-05_14h37.44.393","SELFtaskv6","2023.1.0",119.999904222863,NA,1
5,"HELPLESS","n",35,"b",-120,-360,"b",8,0,5,5,5,NA,NA,"",NA,1.984,247.292809400009,249.283002600074,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,249.283002600074,249.283002600074,249.283002600074,249.283002600074,249.283002600074,249.283002600074,249.283002600074,5,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,256.292259600013,2.02554229996167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1,"2024-04-05_14h37.44.393","SELFtaskv6","2023.1.0",119.999904222863,NA,1
70,"INTELLIGENT","p",60,"b",80,160,"s",21,0,20,20,20,NA,NA,"",NA,1.567,448.777149700094,450.35013539996,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,450.35013539996,450.35013539996,450.35013539996,450.35013539996,450.35013539996,450.35013539996,450.35013539996,70,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,457.360353199998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1,"2024-04-05_14h37.44.393","SELFtaskv6","2023.1.0",119.999904222863,NA,5
75,"INFERIOR","n",40,"g",-80,200,"s",15,0,47,47,47,NA,NA,"",NA,1.517,824.555365700042,826.077863099985,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,826.077863099985,826.077863099985,826.077863099985,826.077863099985,826.077863099985,826.077863099985,826.077863099985,75,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,833.088491100119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1,"2024-04-05_14h37.44.393","SELFtaskv6","2023.1.0",119.999904222863,NA,1
20,"ANNOYING","n",40,"b",-80,-240,"s",38,0,31,31,31,NA,NA,"",NA,2.25,601.812669600127,604.072507800069,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,604.072507800069,604.072507800069,604.072507800069,604.072507800069,604.072507800069,604.072507800069,604.072507800069,30,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,611.082740399987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1,"2024-04-05_14h37.44.393","SELFtaskv6","2023.1.0",119.999904222863,NA,1
75,"LIKABLE","p",60,"b",80,200,"s",16,0,40,40,40,NA,NA,"",NA,2.651,726.975415900117,729.640224999981,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,729.640224999981,729.640224999981,729.640224999981,729.640224999981,729.640224999981,729.640224999981,729.640224999981,75,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,736.651057299925,1.71510730008595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1,"2024-04-05_14h37.44.393","SELFtaskv6","2023.1.0",119.999904222863,NA,5
65,"CHEERFUL","p",50,"b",0,120,"s",24,0,51,51,51,NA,NA,"",NA,2.167,874.331979300128,876.505482499953,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,876.505482499953,876.505482499953,876.505482499953,876.505482499953,876.505482499953,876.505482499953,876.505482499953,70,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,883.516148600029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1,"2024-04-05_14h37.44.393","SELFtaskv6","2023.1.0",119.999904222863,NA,4
85,"WEAK","n",35,"g",-120,280,"s",11,0,34,34,34,NA,NA,"",NA,2.534,643.344121899921,645.892698399955,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,645.892698399955,645.892698399955,645.892698399955,645.892698399955,645.892698399955,645.892698399955,645.892698399955,75,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,652.902028799988,0.675125099951401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1,"2024-04-05_14h37.44.393","SELFtaskv6","2023.1.0",119.999904222863,NA,1
95,"ASHAMED","n",40,"g",-80,360,"b",9,0,27,27,27,NA,NA,"",NA,2.35,546.023282699985,548.378726399969,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,548.378726399969,548.378726399969,548.378726399969,548.378726399969,548.378726399969,548.378726399969,548.378726399969,60,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,555.389159900136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,1,"2024-04-05_14h37.44.393","SELFtaskv6","2023.1.0",119.999904222863,NA,1
