"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
30,"HELPLESS","n",40,"b",-80,-160,"s",34,0,1,1,1,NA,NA,"",NA,1.684,111.754926364403,113.450950542232,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,113.450950542232,113.450950542232,113.450950542232,113.450950542232,113.450950542232,113.450950542232,113.450950542232,30,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,120.484531200025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,1,"2023-11-10_14h45.46.398","SELFtaskv6","2023.1.2",60.005069188607,NA,3
25,"INTELLIGENT","p",75,"g",200,-200,"s",39,0,33,33,33,NA,NA,"",NA,2.684,546.066091520013,548.761320390971,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,548.761320390971,548.761320390971,548.761320390971,548.761320390971,548.761320390971,548.761320390971,548.761320390971,55,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,555.786395875504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,1,"2023-11-10_14h45.46.398","SELFtaskv6","2023.1.2",60.005069188607,NA,3
50,"LIKABLE","p",55,"g",40,0,"s",25,0,54,54,54,NA,NA,"",NA,2.167,836.892940799939,839.069137919927,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,839.069137919927,839.069137919927,839.069137919927,839.069137919927,839.069137919927,839.069137919927,839.069137919927,50,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,846.092122453265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,1,"2023-11-10_14h45.46.398","SELFtaskv6","2023.1.2",60.005069188607,NA,4
75,"CHEERFUL","p",50,"b",0,200,"b",8,0,5,5,5,NA,NA,"",NA,1.984,166.218059662264,168.223467235453,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,168.223467235453,168.223467235453,168.223467235453,168.223467235453,168.223467235453,168.223467235453,168.223467235453,70,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,175.247626808705,1.98519096872769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,1,"2023-11-10_14h45.46.398","SELFtaskv6","2023.1.2",60.005069188607,NA,5
30,"WEAK","n",25,"g",-200,-160,"s",35,0,38,38,38,NA,NA,"",NA,1.15,621.645812053233,622.816298666643,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,622.816298666643,622.816298666643,622.816298666643,622.816298666643,622.816298666643,622.816298666643,622.816298666643,30,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,629.838708622148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,1,"2023-11-10_14h45.46.398","SELFtaskv6","2023.1.2",60.005069188607,NA,3
15,"NEEDY","n",35,"b",-120,-280,"b",43,0,21,21,21,NA,NA,"",NA,1.934,383.540102826664,385.492825031048,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,385.492825031048,385.492825031048,385.492825031048,385.492825031048,385.492825031048,385.492825031048,385.492825031048,25,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,392.516409173375,1.0707586845383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,1,"2023-11-10_14h45.46.398","SELFtaskv6","2023.1.2",60.005069188607,NA,3
70,"HUMBLE","p",80,"g",240,160,"s",12,0,6,6,6,NA,NA,"",NA,1.9,182.241020017769,184.147621546639,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,184.147621546639,184.147621546639,184.147621546639,184.147621546639,184.147621546639,184.147621546639,184.147621546639,70,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,191.17429646221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,1,"2023-11-10_14h45.46.398","SELFtaskv6","2023.1.2",60.005069188607,NA,4
30,"CARELESS","n",45,"b",-40,-160,"s",36,0,15,15,15,NA,NA,"",NA,1.7,296.421976746526,298.132843520027,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,298.132843520027,298.132843520027,298.132843520027,298.132843520027,298.132843520027,298.132843520027,298.132843520027,35,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,305.1573543821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,1,"2023-11-10_14h45.46.398","SELFtaskv6","2023.1.2",60.005069188607,NA,2
80,"SUCCESSFUL","p",55,"b",40,240,"b",7,0,30,30,30,NA,NA,"",NA,2.117,505.040461937664,507.190058382228,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,507.190058382228,507.190058382228,507.190058382228,507.190058382228,507.190058382228,507.190058382228,507.190058382228,80,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,514.204112213338,0.440069404430687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,1,"2023-11-10_14h45.46.398","SELFtaskv6","2023.1.2",60.005069188607,NA,4
30,"BORING","n",35,"b",-120,-160,"s",37,0,23,23,23,NA,NA,"",NA,2.934,408.684862577822,411.629522488918,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,411.629522488918,411.629522488918,411.629522488918,411.629522488918,411.629522488918,411.629522488918,411.629522488918,30,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,418.655152355554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,1,"2023-11-10_14h45.46.398","SELFtaskv6","2023.1.2",60.005069188607,NA,2
