"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
20,"BORING","n",25,"b",-200,-240,"s",38,0,31,31,31,NA,NA,"",NA,2.25,588.479557279672,590.749549155938,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,590.749549155938,590.749549155938,590.749549155938,590.749549155938,590.749549155938,590.749549155938,590.749549155938,15,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,597.771408408385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,3
70,"VALUABLE","p",60,"b",80,160,"s",13,0,41,41,41,NA,NA,"",NA,1.984,730.474788857071,732.470029536693,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,732.470029536693,732.470029536693,732.470029536693,732.470029536693,732.470029536693,732.470029536693,732.470029536693,70,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,739.490832647803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,5
15,"SELFISH","n",20,"b",-240,-280,"b",41,0,26,26,26,NA,NA,"",NA,1.05,517.525097934122,518.598853177857,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,518.598853177857,518.598853177857,518.598853177857,518.598853177857,518.598853177857,518.598853177857,518.598853177857,10,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,525.622129815776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,1
50,"CONFIDENT","p",65,"g",120,0,"s",27,0,58,58,58,NA,NA,"",NA,1.667,961.121438616363,962.798910749378,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,962.798910749378,962.798910749378,962.798910749378,962.798910749378,962.798910749378,962.798910749378,962.798910749378,60,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,969.825787028647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,5
70,"ENTHUSIASTIC","p",60,"b",80,160,"s",14,0,2,2,2,NA,NA,"",NA,1.217,194.764066050207,196.012993980024,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,196.012993980024,196.012993980024,196.012993980024,196.012993980024,196.012993980024,196.012993980024,196.012993980024,75,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,203.026716990542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,5
70,"AGREEABLE","p",55,"b",0,160,"s",15,0,47,47,47,NA,NA,"",NA,1.517,811.458568995353,812.996724909463,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,812.996724909463,812.996724909463,812.996724909463,812.996724909463,812.996724909463,812.996724909463,812.996724909463,75,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,820.018442224246,NA,NA,1.96925471068243,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,4
60,"LAZY","n",40,"g",-70,80,"s",24,0,51,51,51,NA,NA,"",NA,2.167,861.285694618418,863.462777916197,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,863.462777916197,863.462777916197,863.462777916197,863.462777916197,863.462777916197,863.462777916197,863.462777916197,60,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,870.486055691901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,2
25,"INSECURE","n",40,"b",-80,-200,"s",36,0,15,15,15,NA,NA,"",NA,1.7,363.762068398588,365.471721126349,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,365.471721126349,365.471721126349,365.471721126349,365.471721126349,365.471721126349,365.471721126349,365.471721126349,25,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,372.49688846487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,2
65,"TALENTED","p",75,"g",200,120,"s",19,0,19,19,19,NA,NA,"",NA,1.367,419.902296261134,421.278788028751,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,421.278788028751,421.278788028751,421.278788028751,421.278788028751,421.278788028751,421.278788028751,421.278788028751,70,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,428.302931652608,NA,NA,1.00515981781064,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,5
20,"MOODY","n",30,"b",-160,-240,"s",39,0,33,33,33,NA,NA,"",NA,2.684,613.340982606809,616.031748808455,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,616.031748808455,616.031748808455,616.031748808455,616.031748808455,616.031748808455,616.031748808455,616.031748808455,15,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,623.057569230878,NA,NA,0.901333701971453,NA,NA,NA,NA,NA,NA,NA,NA,303,1,"2023-11-24_14h23.29.651","SELFtaskv6","2023.1.2",61.2537438268901,NA,1
