"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
60,"VALUABLE","p",65,"g",120,80,"s",15,0,47,47,47,NA,NA,"",NA,1.517,788.727008300135,790.25120129995,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,790.25120129995,790.25120129995,790.25120129995,790.25120129995,790.25120129995,790.25120129995,790.25120129995,65,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,797.261325099971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,4
40,"SELFISH","n",35,"g",-120,-80,"s",26,0,57,57,57,NA,NA,"",NA,1.517,922.712068299996,924.241120900028,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,924.241120900028,924.241120900028,924.241120900028,924.241120900028,924.241120900028,924.241120900028,924.241120900028,40,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,931.252079100115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,2
30,"CONFIDENT","p",60,"g",80,-160,"s",28,0,53,53,53,NA,NA,"",NA,2.634,864.617886600085,867.256219200091,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,867.256219200091,867.256219200091,867.256219200091,867.256219200091,867.256219200091,867.256219200091,867.256219200091,35,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,874.269225500058,1.53019999992102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,3
60,"ENTHUSIASTIC","p",65,"g",120,80,"s",16,0,40,40,40,NA,NA,"",NA,2.651,691.163997899974,693.821940300055,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,693.821940300055,693.821940300055,693.821940300055,693.821940300055,693.821940300055,693.821940300055,693.821940300055,60,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,700.831747000106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,4
80,"AGREEABLE","p",60,"b",80,240,"s",27,0,58,58,58,NA,NA,"",NA,1.667,938.250596400118,939.923278500093,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,939.923278500093,939.923278500093,939.923278500093,939.923278500093,939.923278500093,939.923278500093,939.923278500093,80,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,946.933489300078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,4
5,"INSECURE","n",30,"b",-160,-360,"b",45,0,11,11,11,NA,NA,"",NA,1.25,292.103807700099,293.360656900099,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,293.360656900099,293.360656900099,293.360656900099,293.360656900099,293.360656900099,293.360656900099,293.360656900099,5,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,300.370659500128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,2
80,"TALENTED","p",65,"b",120,240,"b",6,0,4,4,4,NA,NA,"",NA,1.417,196.048736300087,197.473688700004,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,197.473688700004,197.473688700004,197.473688700004,197.473688700004,197.473688700004,197.473688700004,197.473688700004,75,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,204.483288899995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,4
15,"MOODY","n",35,"b",-120,-280,"s",38,0,31,31,31,NA,NA,"",NA,2.25,565.995479700156,568.25172940013,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,568.25172940013,568.25172940013,568.25172940013,568.25172940013,568.25172940013,568.25172940013,568.25172940013,15,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,575.262916600099,1.94143260014243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,2
75,"PATIENT","p",50,"b",0,200,"b",8,0,5,5,5,NA,NA,"",NA,1.984,211.479956700001,213.469293999951,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,213.469293999951,213.469293999951,213.469293999951,213.469293999951,213.469293999951,213.469293999951,213.469293999951,80,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,220.480183799984,1.43353919987567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,5
55,"EFFICIENT","p",65,"g",120,40,"s",19,0,19,19,19,NA,NA,"",NA,1.367,397.590875599999,398.961983300047,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,398.961983300047,398.961983300047,398.961983300047,398.961983300047,398.961983300047,398.961983300047,398.961983300047,55,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,405.974324499955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,1,"2024-03-13_11h35.18.723","SELFtaskv6","2023.1.0",120.013585697234,NA,4
