"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
30,"CARELESS","n",40,"b",-80,-160,"s",32,0,46,46,46,NA,NA,"",NA,1,773.774157100008,774.781583300006,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,774.781583300006,774.781583300006,774.781583300006,774.781583300006,774.781583300006,774.781583300006,774.781583300006,35,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,781.794693500007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,2
80,"SUCCESSFUL","p",50,"b",0,240,"b",7,0,30,30,30,NA,NA,"",NA,2.117,549.937758800006,552.063145100008,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,552.063145100008,552.063145100008,552.063145100008,552.063145100008,552.063145100008,552.063145100008,552.063145100008,80,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,559.072040500003,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5228805999941,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,4
70,"BORING","n",35,"g",-120,160,"s",12,0,6,6,6,NA,NA,"",NA,1.9,227.577031299996,229.485482000004,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,229.485482000004,229.485482000004,229.485482000004,229.485482000004,229.485482000004,229.485482000004,229.485482000004,60,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,236.495219200006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
70,"VALUABLE","p",60,"b",80,160,"s",13,0,41,41,41,NA,NA,"",NA,1.984,707.873427700004,709.8656433,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,709.8656433,709.8656433,709.8656433,709.8656433,709.8656433,709.8656433,709.8656433,65,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,716.878121700007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,4
35,"SELFISH","n",15,"g",-280,-120,"s",28,0,53,53,53,NA,NA,"",NA,2.634,864.691466600008,867.329767999996,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,867.329767999996,867.329767999996,867.329767999996,867.329767999996,867.329767999996,867.329767999996,867.329767999996,35,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,874.342069899998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,2
70,"CONFIDENT","p",60,"b",80,160,"s",14,0,2,2,2,NA,NA,"",NA,1.217,172.887395500002,174.120198200006,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,174.120198200006,174.120198200006,174.120198200006,174.120198200006,174.120198200006,174.120198200006,174.120198200006,70,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,181.1280119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,3
80,"ENTHUSIASTIC","p",55,"b",40,240,"b",8,0,5,5,5,NA,NA,"",NA,1.984,211.586337400004,213.577885300008,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,213.577885300008,213.577885300008,213.577885300008,213.577885300008,213.577885300008,213.577885300008,213.577885300008,85,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,220.589267200005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,4
75,"AGREEABLE","p",60,"b",80,200,"b",10,0,13,13,13,NA,NA,"",NA,1.3,316.333301899998,317.642713000008,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,317.642713000008,317.642713000008,317.642713000008,317.642713000008,317.642713000008,317.642713000008,317.642713000008,75,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,324.650918300002,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4728335999971,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,4
50,"LAZY","n",40,"g",-80,0,"s",20,0,29,29,29,NA,NA,"",NA,1.067,534.865091700005,535.934208100007,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,535.934208100007,535.934208100007,535.934208100007,535.934208100007,535.934208100007,535.934208100007,535.934208100007,60,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,542.948533999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,2
30,"INSECURE","n",40,"b",-80,-160,"s",33,0,8,8,8,NA,NA,"",NA,2.217,251.532888300004,253.752717099996,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,253.752717099996,253.752717099996,253.752717099996,253.752717099996,253.752717099996,253.752717099996,253.752717099996,20,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,260.767572800003,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54417310000281,NA,NA,347,1,"2024-02-02_16h27.44.710","SELFtaskv6","2023.1.0",120.0403815914,NA,2
