"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
35,"BORING","n",25,"g",-200,-120,"s",35,0,38,38,38,NA,NA,"",NA,1.15,663.2360432,664.3947949,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,664.3947949,664.3947949,664.3947949,664.3947949,664.3947949,664.3947949,664.3947949,30,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,671.4030374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
70,"VALUABLE","p",65,"b",120,160,"s",16,0,40,40,40,NA,NA,"",NA,2.651,688.0497413,690.7133144,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,690.7133144,690.7133144,690.7133144,690.7133144,690.7133144,690.7133144,690.7133144,80,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,697.7247401,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6501993,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
25,"SELFISH","n",15,"g",-280,-200,"b",41,0,26,26,26,NA,NA,"",NA,1.05,492.0660751,493.1198667,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,493.1198667,493.1198667,493.1198667,493.1198667,493.1198667,493.1198667,493.1198667,30,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,500.1319671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
70,"CONFIDENT","p",60,"b",80,160,"s",17,0,35,35,35,NA,NA,"",NA,2.4,620.9575213,623.3642481,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,623.3642481,623.3642481,623.3642481,623.3642481,623.3642481,623.3642481,623.3642481,75,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,630.3751567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
65,"ENTHUSIASTIC","p",75,"g",200,120,"s",26,0,57,57,57,NA,NA,"",NA,1.517,919.6220003,921.1486357,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,921.1486357,921.1486357,921.1486357,921.1486357,921.1486357,921.1486357,921.1486357,60,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,928.1559266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
70,"LAZY","n",35,"g",-120,160,"s",18,0,17,17,17,NA,NA,"",NA,1.467,370.5045807,371.976412,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,371.976412,371.976412,371.976412,371.976412,371.976412,371.976412,371.976412,80,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,378.9881912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
20,"INSECURE","n",35,"b",-120,-240,"b",43,0,21,21,21,NA,NA,"",NA,1.934,425.4646697,427.4040167,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,427.4040167,427.4040167,427.4040167,427.4040167,427.4040167,427.4040167,427.4040167,10,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,434.4161182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
65,"MOODY","n",40,"g",-80,120,"s",27,0,58,58,58,NA,NA,"",NA,1.667,935.1470801,936.825788,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,936.825788,936.825788,936.825788,936.825788,936.825788,936.825788,936.825788,55,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,943.8365935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
70,"PATIENT","p",50,"b",0,160,"s",19,0,19,19,19,NA,NA,"",NA,1.367,394.5188319,395.8921967,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,395.8921967,395.8921967,395.8921967,395.8921967,395.8921967,395.8921967,395.8921967,60,402.902746,402.902746,402.902746,402.902746,402.902746,402.902746,402.902746,402.902746,402.902746,402.902746,402.902746,402.902746,402.902746,402.902746,402.902746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,5
65,"WITTY","p",60,"b",80,120,"s",28,0,53,53,53,NA,NA,"",NA,2.634,861.5369585,864.1751957,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,864.1751957,864.1751957,864.1751957,864.1751957,864.1751957,864.1751957,864.1751957,50,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,871.1867543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,5
65,"COMPETENT","p",70,"g",160,120,"s",29,0,45,45,45,NA,NA,"",NA,2.901,753.6918244,756.6061853,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,756.6061853,756.6061853,756.6061853,756.6061853,756.6061853,756.6061853,756.6061853,90,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,763.6172158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,4
75,"RESERVED","n",45,"g",-40,200,"s",11,0,34,34,34,NA,NA,"",NA,2.534,604.4097446,606.9466472,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,606.9466472,606.9466472,606.9466472,606.9466472,606.9466472,606.9466472,606.9466472,60,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,613.9613131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
40,"GLOOMY","n",30,"g",-160,-80,"s",34,0,1,1,1,NA,NA,"",NA,1.684,153.9980939,155.6881686,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,155.6881686,155.6881686,155.6881686,155.6881686,155.6881686,155.6881686,155.6881686,40,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,162.7066286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,1,"2024-02-14_10h57.26.820","SELFtaskv6","2023.1.0",119.9526906,2
