"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
20,"UNIMPORTANT","n",30,"b",-160,-240,"b",44,0,10,10,10,NA,NA,"",NA,1.684,282.4361704,284.1390447,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,284.1390447,284.1390447,284.1390447,284.1390447,284.1390447,284.1390447,284.1390447,20,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,291.1622508,NA,NA,313,1,"2023-09-08_14h46.26.815","SELFtaskv6","2023.1.2",367.6048766,2
50,"ORDINARY","n",30,"g",-160,0,"s",30,0,42,42,42,NA,NA,"",NA,2.017,730.1740612,732.2066264,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,732.2066264,732.2066264,732.2066264,732.2066264,732.2066264,732.2066264,732.2066264,50,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,739.2256472,NA,NA,313,1,"2023-09-08_14h46.26.815","SELFtaskv6","2023.1.2",367.6048766,3
75,"INTELLIGENT","p",65,"b",120,200,"s",12,0,6,6,6,NA,NA,"",NA,1.9,233.467812,235.3801263,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,235.3801263,235.3801263,235.3801263,235.3801263,235.3801263,235.3801263,235.3801263,75,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,242.4052095,NA,NA,313,1,"2023-09-08_14h46.26.815","SELFtaskv6","2023.1.2",367.6048766,5
20,"INFERIOR","n",15,"g",-280,-240,"b",45,0,11,11,11,NA,NA,"",NA,1.25,298.1409345,299.4018323,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,299.4018323,299.4018323,299.4018323,299.4018323,299.4018323,299.4018323,299.4018323,15,306.427009,306.427009,306.427009,306.427009,306.427009,306.427009,306.427009,306.427009,306.427009,306.427009,306.427009,306.427009,306.427009,306.427009,306.427009,NA,NA,313,1,"2023-09-08_14h46.26.815","SELFtaskv6","2023.1.2",367.6048766,2
35,"ANNOYING","n",15,"g",-280,-120,"s",36,0,15,15,15,NA,NA,"",NA,1.7,347.6003909,349.3177465,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,349.3177465,349.3177465,349.3177465,349.3177465,349.3177465,349.3177465,349.3177465,30,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,356.3379538,NA,NA,313,1,"2023-09-08_14h46.26.815","SELFtaskv6","2023.1.2",367.6048766,2
75,"LIKABLE","p",60,"b",80,200,"s",13,0,41,41,41,NA,NA,"",NA,1.984,714.165682,716.1622263,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,716.1622263,716.1622263,716.1622263,716.1622263,716.1622263,716.1622263,716.1622263,75,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,723.1852398,NA,NA,313,1,"2023-09-08_14h46.26.815","SELFtaskv6","2023.1.2",367.6048766,4
25,"NEEDY","n",30,"b",-160,-200,"b",41,0,26,26,26,NA,NA,"",NA,1.05,501.3632707,502.4283058,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,502.4283058,502.4283058,502.4283058,502.4283058,502.4283058,502.4283058,502.4283058,25,509.447274,509.447274,509.447274,509.447274,509.447274,509.447274,509.447274,509.447274,509.447274,509.447274,509.447274,509.447274,509.447274,509.447274,509.447274,0.444870131,NA,313,1,"2023-09-08_14h46.26.815","SELFtaskv6","2023.1.2",367.6048766,2
70,"HUMBLE","p",65,"b",120,160,"s",19,0,19,19,19,NA,NA,"",NA,1.367,403.7330256,405.1150714,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,405.1150714,405.1150714,405.1150714,405.1150714,405.1150714,405.1150714,405.1150714,65,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,412.1400806,1.259465882,NA,313,1,"2023-09-08_14h46.26.815","SELFtaskv6","2023.1.2",367.6048766,4
65,"CARELESS","n",50,"g",0,120,"s",20,0,29,29,29,NA,NA,"",NA,1.067,541.0247902,542.104384,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,542.104384,542.104384,542.104384,542.104384,542.104384,542.104384,542.104384,65,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,549.1266292,NA,NA,313,1,"2023-09-08_14h46.26.815","SELFtaskv6","2023.1.2",367.6048766,2
80,"SUCCESSFUL","p",60,"b",80,240,"b",7,0,30,30,30,NA,NA,"",NA,2.117,556.1173657,558.247113,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,558.247113,558.247113,558.247113,558.247113,558.247113,558.247113,558.247113,75,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,565.2698674,NA,NA,313,1,"2023-09-08_14h46.26.815","SELFtaskv6","2023.1.2",367.6048766,5
