"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","resp1.rt","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
60,"SENSITIVE","n",45,"g",-40,80,"s",12,0,6,6,6,NA,NA,"",NA,1.9,261.790817999979,263.694116899977,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,263.694116899977,263.694116899977,263.694116899977,263.694116899977,263.694116899977,263.694116899977,263.694116899977,60,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,270.709128899965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,1,"2024-03-06_10h02.19.759","SELFtaskv6","2023.1.0",119.831086376869,NA,2
20,"UNIMPORTANT","n",35,"b",-120,-240,"s",40,0,25,25,25,NA,NA,"",NA,1.05,514.385519400006,515.441923899809,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,515.441923899809,515.441923899809,515.441923899809,515.441923899809,515.441923899809,515.441923899809,515.441923899809,25,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,522.454169499921,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31490830006078,NA,NA,372,1,"2024-03-06_10h02.19.759","SELFtaskv6","2023.1.0",119.831086376869,NA,1
35,"ORDINARY","n",40,"b",-80,-120,"s",37,0,23,23,23,NA,NA,"",NA,2.934,487.913703499828,490.854294799967,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,490.854294799967,490.854294799967,490.854294799967,490.854294799967,490.854294799967,490.854294799967,490.854294799967,35,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,497.865461299894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,1,"2024-03-06_10h02.19.759","SELFtaskv6","2023.1.0",119.831086376869,NA,3
15,"INFERIOR","n",25,"b",-200,-280,"b",42,0,37,37,37,NA,NA,"",NA,1.867,684.739835100016,686.612978799967,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,686.612978799967,686.612978799967,686.612978799967,686.612978799967,686.612978799967,686.612978799967,686.612978799967,15,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,693.622858499875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,1,"2024-03-06_10h02.19.759","SELFtaskv6","2023.1.0",119.831086376869,NA,1
55,"ANNOYING","n",30,"g",-160,40,"s",22,0,56,56,56,NA,NA,"",NA,1.617,941.383739299839,943.007258899976,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,943.007258899976,943.007258899976,943.007258899976,943.007258899976,943.007258899976,943.007258899976,943.007258899976,55,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,950.01746659982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,1,"2024-03-06_10h02.19.759","SELFtaskv6","2023.1.0",119.831086376869,NA,2
75,"LIKABLE","p",60,"b",80,200,"b",6,0,4,4,4,NA,NA,"",NA,1.417,230.378240499878,231.799937999807,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,231.799937999807,231.799937999807,231.799937999807,231.799937999807,231.799937999807,231.799937999807,231.799937999807,75,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,238.812602199847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,1,"2024-03-06_10h02.19.759","SELFtaskv6","2023.1.0",119.831086376869,NA,4
15,"WEAK","n",25,"b",-200,-280,"b",43,0,21,21,21,NA,NA,"",NA,1.934,462.839903399814,464.781326099997,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,464.781326099997,464.781326099997,464.781326099997,464.781326099997,464.781326099997,464.781326099997,464.781326099997,15,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,471.79101809999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,1,"2024-03-06_10h02.19.759","SELFtaskv6","2023.1.0",119.831086376869,NA,2
40,"NEEDY","n",20,"g",-240,-80,"s",33,0,8,8,8,NA,NA,"",NA,2.217,285.754856699845,287.978844699915,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,287.978844699915,287.978844699915,287.978844699915,287.978844699915,287.978844699915,287.978844699915,287.978844699915,40,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,294.987774699926,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46241829986684,NA,NA,372,1,"2024-03-06_10h02.19.759","SELFtaskv6","2023.1.0",119.831086376869,NA,3
60,"HUMBLE","p",70,"g",160,80,"s",14,0,2,2,2,NA,NA,"",NA,1.217,207.121135500027,208.345016799867,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,208.345016799867,208.345016799867,208.345016799867,208.345016799867,208.345016799867,208.345016799867,208.345016799867,65,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,215.356976300012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,1,"2024-03-06_10h02.19.759","SELFtaskv6","2023.1.0",119.831086376869,NA,3
55,"CARELESS","n",40,"g",-80,40,"s",23,0,50,50,50,NA,NA,"",NA,1.167,857.618836399866,858.789084399818,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,858.789084399818,858.789084399818,858.789084399818,858.789084399818,858.789084399818,858.789084399818,858.789084399818,55,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,865.803435700014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,1,"2024-03-06_10h02.19.759","SELFtaskv6","2023.1.0",119.831086376869,NA,2
