"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
60,"CARELESS","n",60,"b",80,80,"s",17,0,35,35,35,NA,NA,"",NA,2.4,630.276058499934,632.681042399956,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,632.681042399956,632.681042399956,632.681042399956,632.681042399956,632.681042399956,632.681042399956,632.681042399956,60,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,639.694660499925,1.41566259996034,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
80,"SUCCESSFUL","p",50,"b",0,240,"s",27,0,58,58,58,NA,NA,"",NA,1.667,944.471087999991,946.143367399927,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,946.143367399927,946.143367399927,946.143367399927,946.143367399927,946.143367399927,946.143367399927,946.143367399927,80,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,953.156178999925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,5
60,"VALUABLE","p",50,"b",0,80,"s",18,0,17,17,17,NA,NA,"",NA,1.467,379.781665499904,381.253989799996,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,381.253989799996,381.253989799996,381.253989799996,381.253989799996,381.253989799996,381.253989799996,381.253989799996,60,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,388.26598529995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,5
20,"SELFISH","n",35,"b",-120,-240,"s",22,0,56,56,56,NA,NA,"",NA,1.617,913.317601299961,914.935973399901,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,914.935973399901,914.935973399901,914.935973399901,914.935973399901,914.935973399901,914.935973399901,914.935973399901,20,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,921.952018299955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,1
30,"CONFIDENT","p",50,"g",0,-160,"s",39,0,33,33,33,NA,NA,"",NA,2.684,597.031160599901,599.722381199943,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,599.722381199943,599.722381199943,599.722381199943,599.722381199943,599.722381199943,599.722381199943,599.722381199943,40,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,606.732025099918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,4
40,"ENTHUSIASTIC","p",50,"g",0,-80,"s",29,0,45,45,45,NA,NA,"",NA,2.901,762.994388199993,765.911051300005,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,765.911051300005,765.911051300005,765.911051300005,765.911051300005,765.911051300005,765.911051300005,765.911051300005,40,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,772.921785199898,0.785687100025825,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,4
80,"AGREEABLE","p",60,"b",80,240,"b",6,0,4,4,4,NA,NA,"",NA,1.417,202.246026899898,203.672802599962,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,203.672802599962,203.672802599962,203.672802599962,203.672802599962,203.672802599962,203.672802599962,203.672802599962,70,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,210.680949999951,1.68203639995772,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,3
80,"LAZY","n",40,"g",-80,240,"b",7,0,30,30,30,NA,NA,"",NA,2.117,556.07843949995,558.202537799953,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,558.202537799953,558.202537799953,558.202537799953,558.202537799953,558.202537799953,558.202537799953,558.202537799953,70,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,565.210866799927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,3
75,"INSECURE","n",45,"g",-80,200,"s",11,0,34,34,34,NA,NA,"",NA,2.534,613.728048799909,616.269745799946,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,616.269745799946,616.269745799946,616.269745799946,616.269745799946,616.269745799946,616.269745799946,616.269745799946,65,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,623.281054599909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,2
60,"TALENTED","p",55,"b",40,80,"s",19,0,19,19,19,NA,NA,"",NA,1.367,403.788275399944,405.162017999915,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,405.162017999915,405.162017999915,405.162017999915,405.162017999915,405.162017999915,405.162017999915,405.162017999915,75,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,412.172383899917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,1,"2024-02-09_14h34.19.924","SELFtaskv6","2023.1.0",120.473509207932,NA,4
