"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
45,"SENSITIVE","n",65,"b",120,-40,"s",21,0,20,20,20,NA,NA,"",NA,1.567,434.896655099932,436.471302200109,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,436.471302200109,436.471302200109,436.471302200109,436.471302200109,436.471302200109,436.471302200109,436.471302200109,45,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,443.483272700105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,3
15,"HELPLESS","n",25,"b",-200,-280,"s",40,0,25,25,25,NA,NA,"",NA,1.05,502.032991700107,503.090150000062,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,503.090150000062,503.090150000062,503.090150000062,503.090150000062,503.090150000062,503.090150000062,503.090150000062,15,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,510.10005629994,1.34935229993425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,1
40,"INFERIOR","n",35,"g",-120,-80,"s",22,0,56,56,56,NA,NA,"",NA,1.617,929.071597100003,930.69274930004,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,930.69274930004,930.69274930004,930.69274930004,930.69274930004,930.69274930004,930.69274930004,930.69274930004,45,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,937.707033799961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,1
60,"LIKABLE","p",65,"g",120,80,"b",9,0,27,27,27,NA,NA,"",NA,2.35,532.14584979997,534.502637899946,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,534.502637899946,534.502637899946,534.502637899946,534.502637899946,534.502637899946,534.502637899946,534.502637899946,60,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,541.51277390006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,5
20,"CHEERFUL","p",55,"g",40,-240,"s",35,0,38,38,38,NA,NA,"",NA,1.15,688.268645799952,689.426493400009,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,689.426493400009,689.426493400009,689.426493400009,689.426493400009,689.426493400009,689.426493400009,689.426493400009,40,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,696.435617000097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,4
20,"WEAK","n",25,"b",-200,-240,"s",36,0,15,15,15,NA,NA,"",NA,1.7,363.458622700069,365.16220079991,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,365.16220079991,365.16220079991,365.16220079991,365.16220079991,365.16220079991,365.16220079991,365.16220079991,20,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,372.168546099914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,1
10,"ASHAMED","n",30,"b",-160,-320,"b",43,0,21,21,21,NA,NA,"",NA,1.934,450.472835500026,452.413503499935,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,452.413503499935,452.413503499935,452.413503499935,452.413503499935,452.413503499935,452.413503499935,452.413503499935,10,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,459.423631299986,1.53231850010343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,2
15,"NEEDY","n",30,"b",-160,-280,"b",41,0,26,26,26,NA,NA,"",NA,1.05,517.089463700075,518.146847700002,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,518.146847700002,518.146847700002,518.146847700002,518.146847700002,518.146847700002,518.146847700002,518.146847700002,15,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,525.156279599993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,1
20,"CARELESS","n",40,"b",-80,-240,"s",37,0,23,23,23,NA,NA,"",NA,2.934,475.544719099998,478.492053699913,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,478.492053699913,478.492053699913,478.492053699913,478.492053699913,478.492053699913,478.492053699913,478.492053699913,20,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,485.50449969992,0.347462800098583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,2
25,"SUCCESSFUL","p",50,"g",0,-200,"s",30,0,42,42,42,NA,NA,"",NA,2.017,745.752725000028,747.776545600034,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,747.776545600034,747.776545600034,747.776545600034,747.776545600034,747.776545600034,747.776545600034,747.776545600034,30,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,754.785487599904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,4
25,"BORING","n",40,"b",-80,-200,"s",31,0,16,16,16,NA,NA,"",NA,2.35,379.164878200041,381.521653699921,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,381.521653699921,381.521653699921,381.521653699921,381.521653699921,381.521653699921,381.521653699921,381.521653699921,25,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,388.531368199969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,1,"2024-04-05_16h09.42.400","SELFtaskv6","2023.1.0",120.074109689756,NA,2
