"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","note.started","note.stopped","participant","session","date","expName","psychopyVersion","frameRate","X","np"
20,"SENSITIVE","n",50,"b",0,-240,"s",40,0,25,25,25,NA,NA,"",NA,1.05,500.454996300046,501.511857100064,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,501.511857100064,501.511857100064,501.511857100064,501.511857100064,501.511857100064,501.511857100064,501.511857100064,20,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,508.522379800095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,1,"2024-04-19_14h50.44.281","SELFtaskv6","2023.1.0",119.97614878348,NA,3
20,"UNDESIRABLE","n",25,"b",-200,-240,"b",41,0,26,26,26,NA,NA,"",NA,1.05,515.519062500098,516.575160600012,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,516.575160600012,516.575160600012,516.575160600012,516.575160600012,516.575160600012,516.575160600012,516.575160600012,20,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,523.588215800002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,1,"2024-04-19_14h50.44.281","SELFtaskv6","2023.1.0",119.97614878348,NA,3
50,"ORDINARY","n",30,"g",-160,0,"s",27,0,58,58,58,NA,NA,"",NA,1.667,958.66498240002,960.338230299996,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,960.338230299996,960.338230299996,960.338230299996,960.338230299996,960.338230299996,960.338230299996,960.338230299996,45,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,967.348006000044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,1,"2024-04-19_14h50.44.281","SELFtaskv6","2023.1.0",119.97614878348,NA,3
55,"INTELLIGENT","p",70,"g",160,40,"s",20,0,29,29,29,NA,NA,"",NA,1.067,555.156530800043,556.229842300061,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,556.229842300061,556.229842300061,556.229842300061,556.229842300061,556.229842300061,556.229842300061,556.229842300061,65,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,563.239611300058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,1,"2024-04-19_14h50.44.281","SELFtaskv6","2023.1.0",119.97614878348,NA,5
25,"INFERIOR","n",35,"b",-120,-200,"s",37,0,23,23,23,NA,NA,"",NA,2.934,473.983150499989,476.929440200096,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,476.929440200096,476.929440200096,476.929440200096,476.929440200096,476.929440200096,476.929440200096,476.929440200096,25,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,483.941028700094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,1,"2024-04-19_14h50.44.281","SELFtaskv6","2023.1.0",119.97614878348,NA,2
10,"ANNOYING","n",20,"b",-200,-320,"b",45,0,11,11,11,NA,NA,"",NA,1.25,312.469484400004,313.723976799985,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,313.723976799985,313.723976799985,313.723976799985,313.723976799985,313.723976799985,313.723976799985,313.723976799985,10,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,320.737120400066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,1,"2024-04-19_14h50.44.281","SELFtaskv6","2023.1.0",119.97614878348,NA,1
70,"LIKABLE","p",60,"b",80,160,"b",7,0,30,30,30,NA,NA,"",NA,2.117,570.237753499998,572.359087600023,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,572.359087600023,572.359087600023,572.359087600023,572.359087600023,572.359087600023,572.359087600023,572.359087600023,70,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,579.370540000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,1,"2024-04-19_14h50.44.281","SELFtaskv6","2023.1.0",119.97614878348,NA,4
30,"WEAK","n",35,"b",-120,-160,"s",32,0,46,46,46,NA,NA,"",NA,1,794.126736500068,795.133104800014,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,795.133104800014,795.133104800014,795.133104800014,795.133104800014,795.133104800014,795.133104800014,795.133104800014,20,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,802.14299130009,2.15556590002961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,1,"2024-04-19_14h50.44.281","SELFtaskv6","2023.1.0",119.97614878348,NA,2
20,"ASHAMED","n",35,"b",-120,-240,"b",42,0,37,37,37,NA,NA,"",NA,1.867,670.858928300091,672.732194500044,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,672.732194500044,672.732194500044,672.732194500044,672.732194500044,672.732194500044,672.732194500044,672.732194500044,20,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,679.742564200074,1.8503531999886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,1,"2024-04-19_14h50.44.281","SELFtaskv6","2023.1.0",119.97614878348,NA,1
30,"NEEDY","n",35,"b",-120,-160,"s",33,0,8,8,8,NA,NA,"",NA,2.217,271.799845700036,274.019076000084,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,274.019076000084,274.019076000084,274.019076000084,274.019076000084,274.019076000084,274.019076000084,274.019076000084,30,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,281.032556800055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,1,"2024-04-19_14h50.44.281","SELFtaskv6","2023.1.0",119.97614878348,NA,2
