"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
35,"SENSITIVE","n",20,"g",-240,-120,"s",33,0,8,8,8,NA,NA,"",NA,2.217,263.74343139556,265.976433208896,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,265.976433208896,265.976433208896,265.976433208896,265.976433208896,265.976433208896,265.976433208896,265.976433208896,30,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,272.999248497785,3.42021973333613,NA,323,1,"2023-10-06_15h54.45.191","SELFtaskv6","2023.1.2",354.89496373894,NA,2
10,"UNDESIRABLE","n",15,"b",-280,-320,"b",44,0,10,10,10,NA,NA,"",NA,1.684,288.735899875552,290.434057102219,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,290.434057102219,290.434057102219,290.434057102219,290.434057102219,290.434057102219,290.434057102219,290.434057102219,10,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,297.455567359997,NA,NA,323,1,"2023-10-06_15h54.45.191","SELFtaskv6","2023.1.2",354.89496373894,NA,1
15,"ORDINARY","n",45,"b",-40,-280,"s",39,0,33,33,33,NA,NA,"",NA,2.684,603.431374506661,606.129476266666,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,606.129476266666,606.129476266666,606.129476266666,606.129476266666,606.129476266666,606.129476266666,606.129476266666,35,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,613.149350968888,NA,NA,323,1,"2023-10-06_15h54.45.191","SELFtaskv6","2023.1.2",354.89496373894,NA,3
70,"INTELLIGENT","p",60,"b",80,160,"s",12,0,6,6,6,NA,NA,"",NA,1.9,239.753769528892,241.670951537773,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,241.670951537773,241.670951537773,241.670951537773,241.670951537773,241.670951537773,241.670951537773,241.670951537773,65,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,248.696803555562,NA,NA,323,1,"2023-10-06_15h54.45.191","SELFtaskv6","2023.1.2",354.89496373894,NA,5
15,"INFERIOR","n",20,"b",-240,-280,"s",40,0,25,25,25,NA,NA,"",NA,1.05,492.588254435555,493.650811448897,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,493.650811448897,493.650811448897,493.650811448897,493.650811448897,493.650811448897,493.650811448897,493.650811448897,15,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,500.673787733336,NA,NA,323,1,"2023-10-06_15h54.45.191","SELFtaskv6","2023.1.2",354.89496373894,NA,2
60,"CHEERFUL","p",60,"g",80,80,"s",22,0,56,56,56,NA,NA,"",NA,1.617,919.946775040007,921.581386808888,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,921.581386808888,921.581386808888,921.581386808888,921.581386808888,921.581386808888,921.581386808888,921.581386808888,60,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,928.599931164441,NA,NA,323,1,"2023-10-06_15h54.45.191","SELFtaskv6","2023.1.2",354.89496373894,NA,5
15,"WEAK","n",30,"b",-160,-280,"b",41,0,26,26,26,NA,NA,"",NA,1.05,507.656202524449,508.720274204446,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,508.720274204446,508.720274204446,508.720274204446,508.720274204446,508.720274204446,508.720274204446,508.720274204446,20,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,515.746860373329,NA,NA,323,1,"2023-10-06_15h54.45.191","SELFtaskv6","2023.1.2",354.89496373894,NA,1
10,"NEEDY","n",30,"b",-160,-320,"b",45,0,11,11,11,NA,NA,"",NA,1.25,304.433436728898,305.692056746673,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,305.692056746673,305.692056746673,305.692056746673,305.692056746673,305.692056746673,305.692056746673,305.692056746673,15,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,312.714483484451,NA,NA,323,1,"2023-10-06_15h54.45.191","SELFtaskv6","2023.1.2",354.89496373894,NA,2
70,"HUMBLE","p",85,"g",280,160,"s",13,0,41,41,41,NA,NA,"",NA,1.984,720.509216995561,722.507236408885,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,722.507236408885,722.507236408885,722.507236408885,722.507236408885,722.507236408885,722.507236408885,722.507236408885,70,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,729.52922965333,0.379087928900844,NA,323,1,"2023-10-06_15h54.45.191","SELFtaskv6","2023.1.2",354.89496373894,NA,4
60,"SUCCESSFUL","p",50,"b",0,80,"s",23,0,50,50,50,NA,NA,"",NA,1.167,836.09238755556,837.272324266669,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,837.272324266669,837.272324266669,837.272324266669,837.272324266669,837.272324266669,837.272324266669,837.272324266669,50,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,844.294737351112,1.6596809955663,NA,323,1,"2023-10-06_15h54.45.191","SELFtaskv6","2023.1.2",354.89496373894,NA,5
