"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_4.stopped","vowelcount_2.stopped","resp.stopped","box_1.stopped","box_2.stopped","yes.stopped","no.stopped","Adjective_3.stopped","vowelcount.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","np"
30,"CARELESS","n",45,"b",-40,-160,"s",30,0,42,42,42,NA,NA,"",NA,2.017,748.3733094,750.3948348,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,750.3948348,750.3948348,750.3948348,750.3948348,750.3948348,750.3948348,750.3948348,30,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,757.4062186,1.548745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
60,"BORING","n",40,"g",-80,80,"s",14,0,2,2,2,NA,NA,"",NA,1.217,197.3004477,198.5295219,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,198.5295219,198.5295219,198.5295219,198.5295219,198.5295219,198.5295219,198.5295219,50,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,205.5403384,2.3674958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
25,"VALUABLE","p",55,"g",40,-200,"s",37,0,23,23,23,NA,NA,"",NA,2.934,478.1722122,481.111675,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,481.111675,481.111675,481.111675,481.111675,481.111675,481.111675,481.111675,25,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,488.1225176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
20,"SELFISH","n",35,"b",-120,-240,"s",40,0,25,25,25,NA,NA,"",NA,1.05,504.6439597,505.7021958,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,505.7021958,505.7021958,505.7021958,505.7021958,505.7021958,505.7021958,505.7021958,35,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,512.7119591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
30,"CONFIDENT","p",45,"g",-40,-160,"s",31,0,16,16,16,NA,NA,"",NA,2.35,381.7493523,384.1087331,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,384.1087331,384.1087331,384.1087331,384.1087331,384.1087331,384.1087331,384.1087331,30,391.118585,391.118585,391.118585,391.118585,391.118585,391.118585,391.118585,391.118585,391.118585,391.118585,391.118585,391.118585,391.118585,391.118585,391.118585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,3
65,"AGREEABLE","p",50,"b",0,120,"s",24,0,51,51,51,NA,NA,"",NA,2.167,870.0592289,872.2397433,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,872.2397433,872.2397433,872.2397433,872.2397433,872.2397433,872.2397433,872.2397433,45,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,879.2501007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
50,"LAZY","n",60,"b",80,0,"s",25,0,54,54,54,NA,NA,"",NA,2.167,912.8459731,915.027172,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,915.027172,915.027172,915.027172,915.027172,915.027172,915.027172,915.027172,70,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,922.0358914,4.7331554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,1
30,"TALENTED","p",50,"g",0,-160,"s",32,0,46,46,46,NA,NA,"",NA,1,805.2583243,806.2628984,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,806.2628984,806.2628984,806.2628984,806.2628984,806.2628984,806.2628984,806.2628984,45,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,813.2741493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
20,"MOODY","n",50,"b",0,-240,"b",41,0,26,26,26,NA,NA,"",NA,1.05,519.6994162,520.7587288,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,520.7587288,520.7587288,520.7587288,520.7587288,520.7587288,520.7587288,520.7587288,30,527.766704,527.766704,527.766704,527.766704,527.766704,527.766704,527.766704,527.766704,527.766704,527.766704,527.766704,527.766704,527.766704,527.766704,527.766704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
60,"PATIENT","p",65,"g",120,80,"s",15,0,47,47,47,NA,NA,"",NA,1.517,820.2665794,821.79328,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,821.79328,821.79328,821.79328,821.79328,821.79328,821.79328,821.79328,60,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,828.8058994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
65,"WITTY","p",55,"b",40,120,"b",6,0,4,4,4,NA,NA,"",NA,1.417,220.5783935,221.997709,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,221.997709,221.997709,221.997709,221.997709,221.997709,221.997709,221.997709,60,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,229.0125566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
65,"EFFICIENT","p",30,"b",-160,120,"b",7,0,30,30,30,NA,NA,"",NA,2.117,574.4175987,576.5391995,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,576.5391995,576.5391995,576.5391995,576.5391995,576.5391995,576.5391995,576.5391995,45,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,583.5528925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
60,"COMPETENT","p",50,"b",0,80,"s",16,0,40,40,40,NA,NA,"",NA,2.651,715.7101329,718.3704823,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,718.3704823,718.3704823,718.3704823,718.3704823,718.3704823,718.3704823,718.3704823,70,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,725.3871678,3.6555674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
60,"GLOOMY","n",40,"g",-80,80,"s",17,0,35,35,35,NA,NA,"",NA,2.4,648.6123354,651.026289,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,651.026289,651.026289,651.026289,651.026289,651.026289,651.026289,651.026289,60,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,658.0347641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
35,"ADMIRABLE","p",55,"g",40,-120,"s",28,0,53,53,53,NA,NA,"",NA,2.634,896.2048848,898.8480763,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,898.8480763,898.8480763,898.8480763,898.8480763,898.8480763,898.8480763,898.8480763,35,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,905.8560878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
20,"CREATIVE","p",30,"g",-160,-240,"b",42,0,37,37,37,NA,NA,"",NA,1.867,675.0233532,676.8969598,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,676.8969598,676.8969598,676.8969598,676.8969598,676.8969598,676.8969598,676.8969598,30,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,683.9078537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
50,"ANXIOUS","n",45,"g",-40,0,"s",26,0,57,57,57,NA,NA,"",NA,1.517,954.3077788,955.8381355,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,955.8381355,955.8381355,955.8381355,955.8381355,955.8381355,955.8381355,955.8381355,50,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,962.8503034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
55,"INDECISIVE","n",65,"b",120,40,"s",20,0,29,29,29,NA,NA,"",NA,1.067,559.3457787,560.4219953,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,560.4219953,560.4219953,560.4219953,560.4219953,560.4219953,560.4219953,560.4219953,65,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,567.4320065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
20,"VULNERABLE","n",35,"b",-120,-240,"b",43,0,21,21,21,NA,NA,"",NA,1.934,453.0792506,455.0184281,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,455.0184281,455.0184281,455.0184281,455.0184281,455.0184281,455.0184281,455.0184281,20,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,462.0344311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
20,"HAPPY","p",50,"g",0,-240,"b",44,0,10,10,10,NA,NA,"",NA,1.684,300.9353228,302.6236896,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,302.6236896,302.6236896,302.6236896,302.6236896,302.6236896,302.6236896,302.6236896,20,309.635435,309.635435,309.635435,309.635435,309.635435,309.635435,309.635435,309.635435,309.635435,309.635435,309.635435,309.635435,309.635435,309.635435,309.635435,3.0179295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
55,"INTERESTING","p",45,"b",-40,40,"s",21,0,20,20,20,NA,NA,"",NA,1.567,437.5008698,439.0745688,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,439.0745688,439.0745688,439.0745688,439.0745688,439.0745688,439.0745688,439.0745688,40,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,446.0854109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
60,"HUMOROUS","p",30,"b",-160,80,"s",18,0,17,17,17,NA,NA,"",NA,1.467,398.110403,399.586567,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,399.586567,399.586567,399.586567,399.586567,399.586567,399.586567,399.586567,60,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,406.5983289,0.8928863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
50,"LUCKY","p",65,"g",120,0,"s",27,0,58,58,58,NA,NA,"",NA,1.667,969.8449573,971.5194786,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,971.5194786,971.5194786,971.5194786,971.5194786,971.5194786,971.5194786,971.5194786,65,978.529069,978.529069,978.529069,978.529069,978.529069,978.529069,978.529069,978.529069,978.529069,978.529069,978.529069,978.529069,978.529069,978.529069,978.529069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,3
25,"AMBITIOUS","p",40,"g",-80,-200,"s",38,0,31,31,31,NA,NA,"",NA,2.25,590.5422849,592.7979706,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,592.7979706,592.7979706,592.7979706,592.7979706,592.7979706,592.7979706,592.7979706,30,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,599.8106314,1.1160559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,3
65,"UNHEALTHY","n",60,"g",80,120,"b",8,0,5,5,5,NA,NA,"",NA,1.984,236.0088751,238.0027317,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,238.0027317,238.0027317,238.0027317,238.0027317,238.0027317,238.0027317,238.0027317,65,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,245.0121552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,1
65,"INATTENTIVE","n",60,"g",80,120,"b",9,0,27,27,27,NA,NA,"",NA,2.35,534.756996,537.1144679,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,537.1144679,537.1144679,537.1144679,537.1144679,537.1144679,537.1144679,537.1144679,60,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,544.1230981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
65,"PASSIVE","n",60,"g",80,120,"b",10,0,13,13,13,NA,NA,"",NA,1.3,340.7804941,342.0875604,"b","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,342.0875604,342.0875604,342.0875604,342.0875604,342.0875604,342.0875604,342.0875604,75,349.097335,349.097335,349.097335,349.097335,349.097335,349.097335,349.097335,349.097335,349.097335,349.097335,349.097335,349.097335,349.097335,349.097335,349.097335,1.7245357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,2
30,"PRODUCTIVE","p",25,"b",-200,-160,"s",33,0,8,8,8,NA,NA,"",NA,2.217,275.9718731,278.1996736,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,278.1996736,278.1996736,278.1996736,278.1996736,278.1996736,278.1996736,278.1996736,15,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,285.2095944,1.4562937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
55,"ORIGINAL","p",40,"b",-80,40,"s",22,0,56,56,56,NA,NA,"",NA,1.617,938.6831061,940.3084974,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,940.3084974,940.3084974,940.3084974,940.3084974,940.3084974,940.3084974,940.3084974,40,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,947.3190433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
30,"BRILLIANT","p",35,"g",-120,-160,"s",34,0,1,1,1,NA,NA,"",NA,1.684,181.6082267,183.299552,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,183.299552,183.299552,183.299552,183.299552,183.299552,183.299552,183.299552,25,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,190.3180368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,1,"2024-03-08_14h32.34.947","SELFtaskv6","2023.1.0",119.8635475,4
