"parpre_rate","word","valence","base_rate","news_type","posit_brate","posit_1rate","con","optseq","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","scan.started","keyresp.started","keyresp.keys","keyresp.rt","jitter","polygon.started","polygon.stopped","resp1.keys","slider.response","slider.rt","Adjective_3.started","vowelcount.started","Adjective_4.started","vowelcount_2.started","resp.started","box_1.started","box_2.started","yes.started","no.started","resp.keys","resp.rt","Adjective2.started","text_own.started","rate_own.started","sign.started","text_base.started","num_base.started","sign_base.started","slider_score","Adjective.started","line_own_2.started","point_own_2.started","text_own_2.started","rate_own_2.started","sign_2.started","line_base_2.started","point_base_2.started","text_base_2.started","num_base_2.started","sign_base_2.started","dis_2.started","agree_2.started","resp1.started","slider.started","resp1.rt","Adjective_3.stopped","vowelcount.stopped","note.started","participant","session","date","expName","psychopyVersion","frameRate","X","np"
25,"CARELESS","n",40,"b",-80,-200,"s",35,0,38,38,38,NA,NA,"",NA,1.15,677.339205119999,678.497007502221,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,678.497007502221,678.497007502221,678.497007502221,678.497007502221,678.497007502221,678.497007502221,678.497007502221,30,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,685.525804657776,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
50,"SUCCESSFUL","p",50,"g",0,0,"s",26,0,57,57,57,NA,NA,"",NA,1.517,934.011368675554,935.549102648889,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,935.549102648889,935.549102648889,935.549102648889,935.549102648889,935.549102648889,935.549102648889,935.549102648889,50,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,942.572059875554,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
15,"BORING","n",30,"b",-160,-280,"b",45,0,11,11,11,NA,NA,"",NA,1.25,302.736961422223,303.997078471111,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,303.997078471111,303.997078471111,303.997078471111,303.997078471111,303.997078471111,303.997078471111,303.997078471111,20,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,311.02113991111,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
65,"VALUABLE","p",70,"g",160,120,"s",11,0,34,34,34,NA,NA,"",NA,2.534,618.472506026665,621.024128284444,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,621.024128284444,621.024128284444,621.024128284444,621.024128284444,621.024128284444,621.024128284444,621.024128284444,70,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,628.048601884442,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
35,"SELFISH","n",20,"g",-240,-120,"s",31,0,16,16,16,NA,NA,"",NA,2.35,367.917948586666,370.27882752,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,370.27882752,370.27882752,370.27882752,370.27882752,370.27882752,370.27882752,370.27882752,30,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,377.30096526222,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
50,"CONFIDENT","p",65,"g",120,0,"s",27,0,58,58,58,NA,NA,"",NA,1.667,949.550417635554,951.232365226668,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,951.232365226668,951.232365226668,951.232365226668,951.232365226668,951.232365226668,951.232365226668,951.232365226668,55,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,958.254581191111,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
65,"ENTHUSIASTIC","p",60,"b",80,120,"s",12,0,6,6,6,NA,NA,"",NA,1.9,238.014615893331,239.935184497775,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,239.935184497775,239.935184497775,239.935184497775,239.935184497775,239.935184497775,239.935184497775,239.935184497775,60,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,246.961214008887,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
60,"AGREEABLE","p",70,"g",160,80,"s",18,0,17,17,17,NA,NA,"",NA,1.467,384.295919217777,385.774228195554,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,385.774228195554,385.774228195554,385.774228195554,385.774228195554,385.774228195554,385.774228195554,385.774228195554,70,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,392.795249208888,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
35,"LAZY","n",45,"b",-40,-120,"s",32,0,46,46,46,NA,NA,"",NA,1,784.820307057777,785.841929386665,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,785.841929386665,785.841929386665,785.841929386665,785.841929386665,785.841929386665,785.841929386665,785.841929386665,45,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,792.863963306667,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
65,"TALENTED","p",55,"b",40,120,"s",13,0,41,41,41,NA,NA,"",NA,1.984,718.852659484444,720.842999751112,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,720.842999751112,720.842999751112,720.842999751112,720.842999751112,720.842999751112,720.842999751112,720.842999751112,55,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,727.867730204445,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
20,"MOODY","n",30,"b",-160,-240,"s",40,0,25,25,25,NA,NA,"",NA,1.05,490.922173724444,491.979339662223,"a","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,491.979339662223,491.979339662223,491.979339662223,491.979339662223,491.979339662223,491.979339662223,491.979339662223,20,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,499.004361671112,1.16707413333279,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
70,"WITTY","p",80,"g",240,160,"b",9,0,27,27,27,NA,NA,"",NA,2.35,521.077106062221,523.435940124444,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,523.435940124444,523.435940124444,523.435940124444,523.435940124444,523.435940124444,523.435940124444,523.435940124444,80,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,530.461466453333,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
65,"EFFICIENT","p",50,"b",0,120,"s",14,0,2,2,2,NA,NA,"",NA,1.217,183.284815359999,184.511358862223,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,184.511358862223,184.511358862223,184.511358862223,184.511358862223,184.511358862223,184.511358862223,184.511358862223,60,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,191.534960924444,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
65,"COMPETENT","p",55,"b",40,120,"s",15,0,47,47,47,NA,NA,"",NA,1.517,799.843796764442,801.369078328888,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,801.369078328888,801.369078328888,801.369078328888,801.369078328888,801.369078328888,801.369078328888,801.369078328888,55,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,808.395832035556,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,4
60,"RESERVED","n",30,"g",-160,80,"s",19,0,19,19,19,NA,NA,"",NA,1.367,408.346663537777,409.72309560889,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,409.72309560889,409.72309560889,409.72309560889,409.72309560889,409.72309560889,409.72309560889,409.72309560889,60,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,416.746741191109,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
20,"GLOOMY","n",25,"b",-200,-240,"b",41,0,26,26,26,NA,NA,"",NA,1.05,505.99971072,507.054708337779,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,507.054708337779,507.054708337779,507.054708337779,507.054708337779,507.054708337779,507.054708337779,507.054708337779,20,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,514.084201528887,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,2
60,"ADMIRABLE","p",50,"b",0,80,"s",20,0,29,29,29,NA,NA,"",NA,1.067,545.696078791112,546.771713991111,"None","None","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,546.771713991111,546.771713991111,546.771713991111,546.771713991111,546.771713991111,546.771713991111,546.771713991111,50,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,553.796423964443,NA,NA,NA,NA,342,1,"2023-12-15_15h36.59.249","SELFtaskv6","2023.1.2",59.8379810869296,NA,3
